"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","21"
"Male","28"
"Doteli",""
"Female","27"
"Male","27"
"Gurung",""
"Female","31"
"Male","23"
"Hayu/Vayu",""
"Female","211"
"Male","168"
"Hyolmo/Yholmo",""
"Female","577"
"Male","490"
"Jirel",""
"Female","8"
"Male","7"
"Magar",""
"Female","5945"
"Male","4430"
"Maithili",""
"Female","156"
"Male","308"
"Majhi",""
"Female","2219"
"Male","2000"
"Nepali",""
"Female","64798"
"Male","54889"
"Newar",""
"Female","7462"
"Male","6383"
"Not Reported",""
"Female","506"
"Male","477"
"Others",""
"Female","96"
"Male","125"
"Pahari",""
"Female","164"
"Male","159"
"Rai",""
"Female","21"
"Male","19"
"Sherpa",""
"Female","1770"
"Male","1507"
"Sunuwar",""
"Female","3982"
"Male","3496"
"Tamang",""
"Female","20173"
"Male","16646"
"Thami",""
"Female","1070"
"Male","954"
"Tharu",""
"Female","3"
"Male","47"
