"Industries Employment","Number"
"Accommodation,  food",""
"Female","771"
"Male","656"
"Administrative, support service",""
"Female","4"
"Male","11"
"Agriculture, forestry and  fishing",""
"Female","2067"
"Male","2478"
"Arts, entertainment, recreation",""
"Female","14"
"Male","17"
"Construction",""
"Female","11"
"Male","98"
"Education",""
"Female","1497"
"Male","1889"
"Electricity, gas and water",""
"Female","39"
"Male","144"
"Financial intermediation and insurance",""
"Female","1420"
"Male","1301"
"Health, social work",""
"Female","1031"
"Male","488"
"Information and communication",""
"Female","9"
"Male","15"
"Manufacturing",""
"Female","446"
"Male","998"
"Other service activities",""
"Female","1142"
"Male","1477"
"Professional, scientific, techniqual activity",""
"Female","34"
"Male","48"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","11"
"Male","71"
"Water supply, wet management",""
"Female","116"
"Male","327"
"Wholesale, retail trade",""
"Female","1933"
"Male","2242"
