"Population by Five Years Age Group","Number"
"0-4",""
"Female","285"
"Male","323"
"10-14",""
"Female","482"
"Male","497"
"15-19",""
"Female","336"
"Male","389"
"20-24",""
"Female","264"
"Male","331"
"25-29",""
"Female","298"
"Male","579"
"30-34",""
"Female","259"
"Male","374"
"35-39",""
"Female","241"
"Male","335"
"40-44",""
"Female","234"
"Male","332"
"45-49",""
"Female","177"
"Male","244"
"50-54",""
"Female","179"
"Male","210"
"55-59",""
"Female","114"
"Male","146"
"5-9",""
"Female","401"
"Male","384"
"60-64",""
"Female","114"
"Male","126"
"65-69",""
"Female","70"
"Male","82"
"70-74",""
"Female","73"
"Male","77"
"75+",""
"Female","91"
"Male","87"
