"Population by Single Year of Age","Number"
"0",""
"Female","61"
"Male","61"
"1",""
"Female","40"
"Male","50"
"10",""
"Female","108"
"Male","130"
"11",""
"Female","85"
"Male","77"
"12",""
"Female","101"
"Male","102"
"13",""
"Female","86"
"Male","90"
"14",""
"Female","102"
"Male","98"
"15",""
"Female","83"
"Male","97"
"16",""
"Female","80"
"Male","98"
"17",""
"Female","71"
"Male","76"
"18",""
"Female","49"
"Male","62"
"19",""
"Female","53"
"Male","56"
"2",""
"Female","46"
"Male","68"
"20",""
"Female","66"
"Male","72"
"21",""
"Female","45"
"Male","51"
"22",""
"Female","59"
"Male","66"
"23",""
"Female","44"
"Male","66"
"24",""
"Female","50"
"Male","76"
"25",""
"Female","63"
"Male","141"
"26",""
"Female","68"
"Male","121"
"27",""
"Female","56"
"Male","117"
"28",""
"Female","74"
"Male","112"
"29",""
"Female","37"
"Male","88"
"3",""
"Female","57"
"Male","63"
"30",""
"Female","96"
"Male","108"
"31",""
"Female","26"
"Male","57"
"32",""
"Female","49"
"Male","84"
"33",""
"Female","40"
"Male","69"
"34",""
"Female","48"
"Male","56"
"35",""
"Female","84"
"Male","99"
"36",""
"Female","45"
"Male","65"
"37",""
"Female","41"
"Male","65"
"38",""
"Female","37"
"Male","67"
"39",""
"Female","34"
"Male","39"
"4",""
"Female","81"
"Male","81"
"40",""
"Female","100"
"Male","129"
"41",""
"Female","33"
"Male","47"
"42",""
"Female","44"
"Male","75"
"43",""
"Female","34"
"Male","46"
"44",""
"Female","23"
"Male","35"
"45",""
"Female","55"
"Male","81"
"46",""
"Female","37"
"Male","36"
"47",""
"Female","35"
"Male","39"
"48",""
"Female","31"
"Male","52"
"49",""
"Female","19"
"Male","36"
"5",""
"Female","82"
"Male","74"
"50",""
"Female","87"
"Male","102"
"51",""
"Female","24"
"Male","22"
"52",""
"Female","24"
"Male","41"
"53",""
"Female","17"
"Male","23"
"54",""
"Female","27"
"Male","22"
"55",""
"Female","41"
"Male","50"
"56",""
"Female","20"
"Male","30"
"57",""
"Female","13"
"Male","23"
"58",""
"Female","22"
"Male","24"
"59",""
"Female","18"
"Male","19"
"6",""
"Female","67"
"Male","70"
"60",""
"Female","56"
"Male","60"
"61",""
"Female","17"
"Male","20"
"62",""
"Female","16"
"Male","12"
"63",""
"Female","9"
"Male","22"
"64",""
"Female","16"
"Male","12"
"65",""
"Female","32"
"Male","38"
"66",""
"Female","9"
"Male","6"
"67",""
"Female","14"
"Male","16"
"68",""
"Female","9"
"Male","15"
"69",""
"Female","6"
"Male","7"
"7",""
"Female","69"
"Male","75"
"70",""
"Female","36"
"Male","47"
"71",""
"Female","9"
"Male","10"
"72",""
"Female","15"
"Male","11"
"73",""
"Female","9"
"Male","7"
"74",""
"Female","4"
"Male","2"
"75",""
"Female","31"
"Male","22"
"76",""
"Female","4"
"Male","4"
"77",""
"Female","5"
"Male","10"
"78",""
"Female","6"
"Male","4"
"79",""
"Female","4"
"Male","6"
"8",""
"Female","95"
"Male","76"
"80",""
"Female","18"
"Male","14"
"81",""
"Female","0"
"Male","5"
"82",""
"Female","5"
"Male","2"
"83",""
"Female","1"
"Male","2"
"84",""
"Female","5"
"Male","2"
"85",""
"Female","12"
"Male","16"
"9",""
"Female","88"
"Male","89"
