"Population by Educational Attainment","Number"
"Beginners",""
"Female","93"
"Male","88"
"Graduate and Equivalent",""
"Female","28"
"Male","68"
"Intermediate and Equivalent",""
"Female","187"
"Male","195"
"Level not Stated",""
"Female","10"
"Male","21"
"Lower Secondary (Class 6-8)",""
"Female","503"
"Male","505"
"Non Formal Education",""
"Female","70"
"Male","127"
"Others",""
"Female","2"
"Male","5"
"Post Graduate Equivalent and Above",""
"Female","9"
"Male","14"
"Primary Education (1-5 Class)",""
"Female","998"
"Male","1084"
"Secondary Level (Class 9-10)",""
"Female","274"
"Male","277"
"SLC and Equivalent",""
"Female","187"
"Male","242"
