"Population by Five Years Age Group","Number"
"0-4",""
"Female","369"
"Male","347"
"10-14",""
"Female","683"
"Male","680"
"15-19",""
"Female","603"
"Male","511"
"20-24",""
"Female","442"
"Male","320"
"25-29",""
"Female","394"
"Male","334"
"30-34",""
"Female","303"
"Male","249"
"35-39",""
"Female","297"
"Male","235"
"40-44",""
"Female","271"
"Male","247"
"45-49",""
"Female","218"
"Male","219"
"50-54",""
"Female","227"
"Male","235"
"55-59",""
"Female","147"
"Male","208"
"5-9",""
"Female","544"
"Male","499"
"60-64",""
"Female","130"
"Male","134"
"65-69",""
"Female","113"
"Male","129"
"70-74",""
"Female","80"
"Male","87"
"75+",""
"Female","121"
"Male","126"
