"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","1791"
"Male","1605"
"","3396"
"Chhetri",""
"Female","122"
"Male","107"
"","229"
"Damai/Dholi",""
"Female","153"
"Male","130"
"","283"
"Ghale",""
"Female","48"
"Male","36"
"","84"
"Gharti/Bhujel",""
"Female","7"
"Male","6"
"","13"
"Gurung",""
"Female","16"
"Male","11"
"","27"
"Kami",""
"Female","86"
"Male","60"
"","146"
"Magar",""
"Female","74"
"Male","62"
"","136"
"Newar",""
"Female","80"
"Male","70"
"","150"
"Others",""
"Female","18"
"Male","30"
"","48"
"Tamang",""
"Female","2540"
"Male","2369"
"","4909"
