"Population by disability type","Number"
"Blind/low vision",""
"Female","12"
"Male","28"
"","40"
"Deaf/hard of hearing",""
"Female","16"
"Male","16"
"","32"
"Deaf-Blind",""
"Female","1"
"Male","4"
"","5"
"Intellectual disable",""
"Female","1"
"Male","3"
"","4"
"Mental disable",""
"Female","3"
"Male","4"
"","7"
"Multiple disable",""
"Female","6"
"Male","3"
"","9"
"No disability",""
"Female","5984"
"Male","5661"
"","11645"
"Physical",""
"Female","21"
"Male","43"
"","64"
"Speech problem",""
"Female","7"
"Male","11"
"","18"
