"Population by Single Year of Age","Number"
"0",""
"Female","642"
"Male","743"
"1",""
"Female","533"
"Male","609"
"10",""
"Female","1068"
"Male","1148"
"11",""
"Female","817"
"Male","760"
"12",""
"Female","1060"
"Male","1114"
"13",""
"Female","990"
"Male","931"
"14",""
"Female","953"
"Male","910"
"15",""
"Female","962"
"Male","908"
"16",""
"Female","917"
"Male","846"
"17",""
"Female","740"
"Male","643"
"18",""
"Female","890"
"Male","794"
"19",""
"Female","530"
"Male","457"
"2",""
"Female","661"
"Male","677"
"20",""
"Female","732"
"Male","487"
"21",""
"Female","549"
"Male","372"
"22",""
"Female","776"
"Male","475"
"23",""
"Female","513"
"Male","337"
"24",""
"Female","532"
"Male","368"
"25",""
"Female","848"
"Male","555"
"26",""
"Female","522"
"Male","382"
"27",""
"Female","452"
"Male","331"
"28",""
"Female","604"
"Male","440"
"29",""
"Female","273"
"Male","199"
"3",""
"Female","695"
"Male","698"
"30",""
"Female","858"
"Male","578"
"31",""
"Female","226"
"Male","149"
"32",""
"Female","431"
"Male","366"
"33",""
"Female","267"
"Male","207"
"34",""
"Female","247"
"Male","188"
"35",""
"Female","893"
"Male","641"
"36",""
"Female","346"
"Male","287"
"37",""
"Female","225"
"Male","204"
"38",""
"Female","387"
"Male","291"
"39",""
"Female","201"
"Male","162"
"4",""
"Female","782"
"Male","845"
"40",""
"Female","867"
"Male","816"
"41",""
"Female","199"
"Male","202"
"42",""
"Female","332"
"Male","287"
"43",""
"Female","220"
"Male","205"
"44",""
"Female","170"
"Male","180"
"45",""
"Female","613"
"Male","571"
"46",""
"Female","202"
"Male","193"
"47",""
"Female","159"
"Male","165"
"48",""
"Female","298"
"Male","261"
"49",""
"Female","139"
"Male","145"
"5",""
"Female","846"
"Male","871"
"50",""
"Female","557"
"Male","656"
"51",""
"Female","116"
"Male","149"
"52",""
"Female","190"
"Male","217"
"53",""
"Female","122"
"Male","129"
"54",""
"Female","136"
"Male","121"
"55",""
"Female","363"
"Male","355"
"56",""
"Female","134"
"Male","133"
"57",""
"Female","147"
"Male","160"
"58",""
"Female","157"
"Male","180"
"59",""
"Female","125"
"Male","101"
"6",""
"Female","859"
"Male","865"
"60",""
"Female","451"
"Male","487"
"61",""
"Female","124"
"Male","140"
"62",""
"Female","165"
"Male","136"
"63",""
"Female","95"
"Male","97"
"64",""
"Female","95"
"Male","78"
"65",""
"Female","281"
"Male","274"
"66",""
"Female","77"
"Male","62"
"67",""
"Female","99"
"Male","99"
"68",""
"Female","149"
"Male","158"
"69",""
"Female","46"
"Male","66"
"7",""
"Female","916"
"Male","860"
"70",""
"Female","250"
"Male","244"
"71",""
"Female","60"
"Male","50"
"72",""
"Female","70"
"Male","70"
"73",""
"Female","53"
"Male","54"
"74",""
"Female","26"
"Male","44"
"75",""
"Female","139"
"Male","99"
"76",""
"Female","33"
"Male","41"
"77",""
"Female","41"
"Male","44"
"78",""
"Female","65"
"Male","65"
"79",""
"Female","22"
"Male","21"
"8",""
"Female","969"
"Male","1019"
"80",""
"Female","95"
"Male","86"
"81",""
"Female","18"
"Male","15"
"82",""
"Female","21"
"Male","19"
"83",""
"Female","15"
"Male","16"
"84",""
"Female","18"
"Male","18"
"85",""
"Female","128"
"Male","77"
"9",""
"Female","777"
"Male","770"
