"Population by Five Years Age Group","Number"
"0-4",""
"Female","795"
"Male","838"
"10-14",""
"Female","1133"
"Male","1089"
"15-19",""
"Female","829"
"Male","718"
"20-24",""
"Female","624"
"Male","349"
"25-29",""
"Female","509"
"Male","311"
"30-34",""
"Female","380"
"Male","257"
"35-39",""
"Female","346"
"Male","255"
"40-44",""
"Female","349"
"Male","272"
"45-49",""
"Female","296"
"Male","307"
"50-54",""
"Female","265"
"Male","284"
"55-59",""
"Female","190"
"Male","187"
"5-9",""
"Female","1016"
"Male","1099"
"60-64",""
"Female","153"
"Male","160"
"65-69",""
"Female","145"
"Male","143"
"70-74",""
"Female","120"
"Male","102"
"75+",""
"Female","140"
"Male","100"
