"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","752"
"Male","680"
"Chhetri",""
"Female","1845"
"Male","1707"
"Damai/Dholi",""
"Female","555"
"Male","532"
"Gharti/Bhujel",""
"Female","422"
"Male","398"
"Gurung",""
"Female","56"
"Male","58"
"Hayu",""
"Female","220"
"Male","195"
"Kami",""
"Female","404"
"Male","365"
"Magar",""
"Female","2050"
"Male","1946"
"Majhi",""
"Female","254"
"Male","262"
"Newar",""
"Female","954"
"Male","929"
"Others",""
"Female","29"
"Male","25"
"Pahari",""
"Female","13"
"Male","14"
"Rai",""
"Female","79"
"Male","76"
"Sanyasi/Dasnami",""
"Female","46"
"Male","58"
"Sarki",""
"Female","1044"
"Male","1052"
"Sudhi",""
"Female","34"
"Male","24"
"Sunuwar",""
"Female","199"
"Male","187"
"Tamang",""
"Female","656"
"Male","619"
"Teli",""
"Female","10"
"Male","6"
"Thakuri",""
"Female","307"
"Male","267"
