"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","3"
"Male","8"
"Danuwar",""
"Female","5"
"Male","7"
"Hayu/Vayu",""
"Female","14"
"Male","16"
"Magar",""
"Female","1692"
"Male","1508"
"Maithili",""
"Female","27"
"Male","50"
"Majhi",""
"Female","1216"
"Male","1135"
"Nepali",""
"Female","2815"
"Male","2530"
"Newar",""
"Female","287"
"Male","225"
"Not Reported",""
"Female","213"
"Male","164"
"Others",""
"Female","12"
"Male","25"
"Sign Language",""
"Female","10"
"Male","11"
"Sunuwar",""
"Female","28"
"Male","17"
"Tamang",""
"Female","8111"
"Male","7488"
"Thami",""
"Female","107"
"Male","98"
