"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1965"
"Male","1722"
"Brahman - Tarai",""
"Female","156"
"Male","151"
"Chhetri",""
"Female","1985"
"Male","1880"
"Damai/Dholi",""
"Female","851"
"Male","741"
"Gharti/Bhujel",""
"Female","262"
"Male","270"
"Hayu",""
"Female","11"
"Male","11"
"Kami",""
"Female","961"
"Male","872"
"Magar",""
"Female","6551"
"Male","5898"
"Majhi",""
"Female","203"
"Male","214"
"Newar",""
"Female","1759"
"Male","1614"
"Others",""
"Female","35"
"Male","44"
"Rai",""
"Female","16"
"Male","13"
"Sanyasi/Dasnami",""
"Female","80"
"Male","75"
"Sarki",""
"Female","1048"
"Male","1011"
"Sonar",""
"Female","11"
"Male","23"
"Sudhi",""
"Female","6"
"Male","8"
"Sunuwar",""
"Female","137"
"Male","113"
"Tamang",""
"Female","2844"
"Male","2580"
"Teli",""
"Female","4"
"Male","9"
"Thakuri",""
"Female","144"
"Male","127"
