"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","38"
"Male","41"
"Bantaba",""
"Female","6"
"Male","6"
"Baraee",""
"Female","6"
"Male","6"
"Bhote",""
"Female","105"
"Male","84"
"Brahman - Hill",""
"Female","12007"
"Male","10773"
"Brahman - Tarai",""
"Female","244"
"Male","226"
"Chhetri",""
"Female","20985"
"Male","18930"
"Dalit Others",""
"Female","35"
"Male","32"
"Damai/Dholi",""
"Female","4792"
"Male","4329"
"Danuwar",""
"Female","9278"
"Male","7926"
"Dhanuk",""
"Female","31"
"Male","36"
"Dhobi",""
"Female","5"
"Male","6"
"Dom",""
"Female","22"
"Male","30"
"Ghale",""
"Female","28"
"Male","19"
"Gharti/Bhujel",""
"Female","2323"
"Male","2180"
"Gurung",""
"Female","246"
"Male","215"
"Hajam/Thakur",""
"Female","64"
"Male","80"
"Halwai",""
"Female","55"
"Male","62"
"Hayu",""
"Female","869"
"Male","805"
"Kalwar",""
"Female","167"
"Male","171"
"Kami",""
"Female","7026"
"Male","6448"
"Kanu",""
"Female","16"
"Male","23"
"Kathabaniyan",""
"Female","43"
"Male","56"
"Kayastha",""
"Female","47"
"Male","42"
"Koiri/Kushwaha",""
"Female","12"
"Male","12"
"Kumal",""
"Female","7"
"Male","5"
"Limbu",""
"Female","23"
"Male","22"
"Lohar",""
"Female","5"
"Male","13"
"Magar",""
"Female","22795"
"Male","20578"
"Majhi",""
"Female","5364"
"Male","4886"
"Mallaha",""
"Female","13"
"Male","4"
"Musahar",""
"Female","931"
"Male","918"
"Musalman",""
"Female","59"
"Male","83"
"Newar",""
"Female","9596"
"Male","8834"
"Others",""
"Female","310"
"Male","360"
"Pahari",""
"Female","404"
"Male","363"
"Rai",""
"Female","1482"
"Male","1347"
"Rajput",""
"Female","22"
"Male","20"
"Sanyasi/Dasnami",""
"Female","865"
"Male","741"
"Sarki",""
"Female","5453"
"Male","5036"
"Sherpa",""
"Female","11"
"Male","11"
"Sonar",""
"Female","123"
"Male","146"
"Sudhi",""
"Female","410"
"Male","405"
"Sunuwar",""
"Female","4188"
"Male","3874"
"Tamang",""
"Female","41622"
"Male","37671"
"Tatma/Tatwa",""
"Female","9"
"Male","6"
"Teli",""
"Female","144"
"Male","151"
"Terai Others",""
"Female","29"
"Male","29"
"Thakuri",""
"Female","898"
"Male","816"
"Thami",""
"Female","428"
"Male","392"
"Tharu",""
"Female","53"
"Male","66"
"Undefined Others",""
"Female","31"
"Male","20"
"Yadav",""
"Female","37"
"Male","57"
"Yakkha",""
"Female","10"
"Male","9"
