"Population by Single Year of Age","Number"
"0",""
"Female","2791"
"Male","2970"
"1",""
"Female","2613"
"Male","2902"
"10",""
"Female","4706"
"Male","4791"
"11",""
"Female","3867"
"Male","3856"
"12",""
"Female","4750"
"Male","5076"
"13",""
"Female","4429"
"Male","4329"
"14",""
"Female","4490"
"Male","4311"
"15",""
"Female","4307"
"Male","3902"
"16",""
"Female","3927"
"Male","3614"
"17",""
"Female","3679"
"Male","3170"
"18",""
"Female","3860"
"Male","3362"
"19",""
"Female","2571"
"Male","2010"
"2",""
"Female","3008"
"Male","3188"
"20",""
"Female","3036"
"Male","2151"
"21",""
"Female","2482"
"Male","1715"
"22",""
"Female","3233"
"Male","2215"
"23",""
"Female","2355"
"Male","1534"
"24",""
"Female","2274"
"Male","1648"
"25",""
"Female","3173"
"Male","2141"
"26",""
"Female","2309"
"Male","1682"
"27",""
"Female","2200"
"Male","1706"
"28",""
"Female","2360"
"Male","1872"
"29",""
"Female","1311"
"Male","1090"
"3",""
"Female","3130"
"Male","3119"
"30",""
"Female","3380"
"Male","2343"
"31",""
"Female","1138"
"Male","923"
"32",""
"Female","2006"
"Male","1604"
"33",""
"Female","1340"
"Male","1140"
"34",""
"Female","1220"
"Male","1073"
"35",""
"Female","3403"
"Male","2575"
"36",""
"Female","1562"
"Male","1313"
"37",""
"Female","1146"
"Male","1140"
"38",""
"Female","1524"
"Male","1421"
"39",""
"Female","1034"
"Male","1000"
"4",""
"Female","3582"
"Male","3624"
"40",""
"Female","3386"
"Male","2977"
"41",""
"Female","962"
"Male","980"
"42",""
"Female","1523"
"Male","1459"
"43",""
"Female","1014"
"Male","1004"
"44",""
"Female","915"
"Male","874"
"45",""
"Female","2510"
"Male","2365"
"46",""
"Female","986"
"Male","1022"
"47",""
"Female","908"
"Male","900"
"48",""
"Female","1225"
"Male","1277"
"49",""
"Female","766"
"Male","791"
"5",""
"Female","3829"
"Male","3955"
"50",""
"Female","2329"
"Male","2393"
"51",""
"Female","726"
"Male","791"
"52",""
"Female","966"
"Male","1085"
"53",""
"Female","654"
"Male","716"
"54",""
"Female","619"
"Male","630"
"55",""
"Female","1420"
"Male","1435"
"56",""
"Female","762"
"Male","728"
"57",""
"Female","724"
"Male","747"
"58",""
"Female","766"
"Male","851"
"59",""
"Female","602"
"Male","591"
"6",""
"Female","3867"
"Male","3926"
"60",""
"Female","1783"
"Male","1713"
"61",""
"Female","592"
"Male","644"
"62",""
"Female","757"
"Male","664"
"63",""
"Female","480"
"Male","496"
"64",""
"Female","404"
"Male","436"
"65",""
"Female","1096"
"Male","1051"
"66",""
"Female","471"
"Male","389"
"67",""
"Female","551"
"Male","543"
"68",""
"Female","568"
"Male","689"
"69",""
"Female","268"
"Male","328"
"7",""
"Female","4218"
"Male","4072"
"70",""
"Female","969"
"Male","893"
"71",""
"Female","241"
"Male","248"
"72",""
"Female","393"
"Male","404"
"73",""
"Female","266"
"Male","302"
"74",""
"Female","184"
"Male","209"
"75",""
"Female","591"
"Male","458"
"76",""
"Female","215"
"Male","229"
"77",""
"Female","276"
"Male","256"
"78",""
"Female","361"
"Male","333"
"79",""
"Female","133"
"Male","110"
"8",""
"Female","4285"
"Male","4477"
"80",""
"Female","427"
"Male","327"
"81",""
"Female","93"
"Male","93"
"82",""
"Female","109"
"Male","117"
"83",""
"Female","92"
"Male","87"
"84",""
"Female","108"
"Male","100"
"85",""
"Female","594"
"Male","458"
"9",""
"Female","3889"
"Male","3990"
