"Industries Types","Number"
"Accommodation and food","1005"
"Administrative and support service activity","24"
"Agriculture, forestry and fishing","1009"
"Art, entertainment and recreation","10"
"Construction","13"
"Education","642"
"Electricty gas and water","12"
"Financial intermediation and insurance","189"
"Health and social work","166"
"Information and communications","17"
"Manufacturing","971"
"Mining and quarrying","10"
"Other service activities","336"
"Professional,scientific and techniqual activity","48"
"Real state, renting and business activities","1"
"Transport and storage","34"
"Water supply, wet management","44"
"Wholesale and retail trade","3470"
"Total","8001"
