"Population by Single Year of Age","Number"
"0",""
"Female","129"
"Male","134"
"1",""
"Female","122"
"Male","143"
"10",""
"Female","261"
"Male","261"
"11",""
"Female","230"
"Male","224"
"12",""
"Female","275"
"Male","263"
"13",""
"Female","232"
"Male","238"
"14",""
"Female","273"
"Male","265"
"15",""
"Female","253"
"Male","284"
"16",""
"Female","257"
"Male","243"
"17",""
"Female","233"
"Male","205"
"18",""
"Female","252"
"Male","208"
"19",""
"Female","162"
"Male","126"
"2",""
"Female","151"
"Male","149"
"20",""
"Female","179"
"Male","148"
"21",""
"Female","135"
"Male","119"
"22",""
"Female","201"
"Male","143"
"23",""
"Female","140"
"Male","117"
"24",""
"Female","146"
"Male","115"
"25",""
"Female","179"
"Male","144"
"26",""
"Female","142"
"Male","124"
"27",""
"Female","135"
"Male","112"
"28",""
"Female","192"
"Male","145"
"29",""
"Female","98"
"Male","72"
"3",""
"Female","157"
"Male","143"
"30",""
"Female","211"
"Male","187"
"31",""
"Female","80"
"Male","75"
"32",""
"Female","144"
"Male","107"
"33",""
"Female","88"
"Male","68"
"34",""
"Female","103"
"Male","77"
"35",""
"Female","213"
"Male","173"
"36",""
"Female","114"
"Male","97"
"37",""
"Female","104"
"Male","86"
"38",""
"Female","95"
"Male","113"
"39",""
"Female","76"
"Male","53"
"4",""
"Female","174"
"Male","167"
"40",""
"Female","229"
"Male","175"
"41",""
"Female","70"
"Male","60"
"42",""
"Female","121"
"Male","133"
"43",""
"Female","82"
"Male","82"
"44",""
"Female","73"
"Male","73"
"45",""
"Female","152"
"Male","157"
"46",""
"Female","68"
"Male","84"
"47",""
"Female","41"
"Male","65"
"48",""
"Female","99"
"Male","86"
"49",""
"Female","53"
"Male","55"
"5",""
"Female","203"
"Male","193"
"50",""
"Female","188"
"Male","174"
"51",""
"Female","59"
"Male","47"
"52",""
"Female","104"
"Male","110"
"53",""
"Female","68"
"Male","67"
"54",""
"Female","57"
"Male","60"
"55",""
"Female","102"
"Male","111"
"56",""
"Female","64"
"Male","80"
"57",""
"Female","56"
"Male","51"
"58",""
"Female","67"
"Male","67"
"59",""
"Female","56"
"Male","55"
"6",""
"Female","208"
"Male","170"
"60",""
"Female","139"
"Male","163"
"61",""
"Female","64"
"Male","48"
"62",""
"Female","44"
"Male","47"
"63",""
"Female","43"
"Male","44"
"64",""
"Female","38"
"Male","48"
"65",""
"Female","89"
"Male","84"
"66",""
"Female","35"
"Male","37"
"67",""
"Female","51"
"Male","51"
"68",""
"Female","51"
"Male","57"
"69",""
"Female","29"
"Male","29"
"7",""
"Female","203"
"Male","186"
"70",""
"Female","107"
"Male","96"
"71",""
"Female","23"
"Male","26"
"72",""
"Female","48"
"Male","34"
"73",""
"Female","21"
"Male","24"
"74",""
"Female","30"
"Male","25"
"75",""
"Female","59"
"Male","49"
"76",""
"Female","23"
"Male","27"
"77",""
"Female","29"
"Male","18"
"78",""
"Female","42"
"Male","42"
"79",""
"Female","24"
"Male","13"
"8",""
"Female","199"
"Male","193"
"80",""
"Female","41"
"Male","32"
"81",""
"Female","12"
"Male","7"
"82",""
"Female","12"
"Male","18"
"83",""
"Female","18"
"Male","14"
"84",""
"Female","16"
"Male","17"
"85",""
"Female","51"
"Male","40"
"9",""
"Female","220"
"Male","215"
