"Population by disability type","Number"
"Blind/low vision",""
"Female","39"
"Male","43"
"","82"
"Deaf/hard of hearing",""
"Female","35"
"Male","53"
"","88"
"Deaf-Blind",""
"Female","6"
"Male","4"
"","10"
"Intellectual disable",""
"Female","10"
"Male","10"
"","20"
"Mental disable",""
"Female","10"
"Male","8"
"","18"
"Multiple disable",""
"Female","21"
"Male","19"
"","40"
"No disability",""
"Female","7968"
"Male","8128"
"","16096"
"Physical",""
"Female","69"
"Male","121"
"","190"
"Speech problem",""
"Female","42"
"Male","45"
"","87"
