"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","22"
"Male","15"
"Brahman - Hill",""
"Female","2840"
"Male","2362"
"Chhetri",""
"Female","4698"
"Male","3980"
"Damai/Dholi",""
"Female","565"
"Male","462"
"Ghale",""
"Female","170"
"Male","150"
"Gharti/Bhujel",""
"Female","189"
"Male","169"
"Gurung",""
"Female","246"
"Male","257"
"Hajam/Thakur",""
"Female","6"
"Male","7"
"Kami",""
"Female","1048"
"Male","837"
"Magar",""
"Female","728"
"Male","679"
"Majhi",""
"Female","1115"
"Male","1023"
"Newar",""
"Female","4567"
"Male","3941"
"Others",""
"Female","46"
"Male","40"
"Pahari",""
"Female","127"
"Male","125"
"Rai",""
"Female","13"
"Male","11"
"Sanyasi/Dasnami",""
"Female","2554"
"Male","1852"
"Sarki",""
"Female","256"
"Male","226"
"Sherpa",""
"Female","28"
"Male","22"
"Tamang",""
"Female","5820"
"Male","4965"
"Teli",""
"Female","4"
"Male","7"
"Terai Others",""
"Female","6"
"Male","7"
"Thakuri",""
"Female","155"
"Male","93"
"Tharu",""
"Female","4"
"Male","18"
"Undefined Others",""
"Female","7"
"Male","7"
"Yadav",""
"Female","11"
"Male","17"
