"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","753"
"Male","647"
"","1400"
"Chhetri",""
"Female","941"
"Male","801"
"","1742"
"Damai/Dholi",""
"Female","76"
"Male","72"
"","148"
"Foreigner",""
"Female","127"
"Male","94"
"","221"
"Ghale",""
"Female","9"
"Male","13"
"","22"
"Gharti/Bhujel",""
"Female","77"
"Male","62"
"","139"
"Gurung",""
"Female","35"
"Male","21"
"","56"
"Hyolmo",""
"Female","1650"
"Male","1620"
"","3270"
"Kami",""
"Female","335"
"Male","280"
"","615"
"Magar",""
"Female","90"
"Male","89"
"","179"
"Newar",""
"Female","121"
"Male","132"
"","253"
"Others",""
"Female","36"
"Male","48"
"","84"
"Sanyasi/Dasnami",""
"Female","501"
"Male","435"
"","936"
"Sarki",""
"Female","43"
"Male","49"
"","92"
"Sherpa",""
"Female","80"
"Male","115"
"","195"
"Sonar",""
"Female","10"
"Male","11"
"","21"
"Tamang",""
"Female","4223"
"Male","4075"
"","8298"
