"Population by Mother tongue","Number"
"Gurung",""
"Female","33"
"Male","19"
"","52"
"Hyolmo/Yholmo",""
"Female","1650"
"Male","1619"
"","3269"
"Magar",""
"Female","17"
"Male","18"
"","35"
"Maithili",""
"Female","11"
"Male","27"
"","38"
"Nepali",""
"Female","2862"
"Male","2475"
"","5337"
"Newar",""
"Female","98"
"Male","108"
"","206"
"Not Reported",""
"Female","15"
"Male","17"
"","32"
"Others",""
"Female","22"
"Male","26"
"","48"
"Sherpa",""
"Female","71"
"Male","104"
"","175"
"Tamang",""
"Female","4328"
"Male","4151"
"","8479"
