"Population by Mother tongue","Number"
"Danuwar",""
"Female","1201"
"Male","1020"
"","2221"
"Hyolmo/Yholmo",""
"Female","149"
"Male","152"
"","301"
"Maithili",""
"Female","3"
"Male","29"
"","32"
"Majhi",""
"Female","161"
"Male","144"
"","305"
"Nepali",""
"Female","9236"
"Male","7956"
"","17192"
"Newar",""
"Female","542"
"Male","466"
"","1008"
"Not Reported",""
"Female","35"
"Male","29"
"","64"
"Others",""
"Female","12"
"Male","8"
"","20"
"Rai",""
"Female","4"
"Male","9"
"","13"
"Sherpa",""
"Female","22"
"Male","24"
"","46"
"Tamang",""
"Female","3776"
"Male","3539"
"","7315"
