"Population by disability type","Number"
"Blind/low vision",""
"Female","35"
"Male","37"
"","72"
"Deaf/hard of hearing",""
"Female","21"
"Male","27"
"","48"
"Deaf-Blind",""
"Female","5"
"Male","5"
"","10"
"Intellectual disable",""
"Female","4"
"Male","7"
"","11"
"Mental disable",""
"Female","4"
"Male","6"
"","10"
"Multiple disable",""
"Female","3"
"Male","3"
"","6"
"No disability",""
"Female","9527"
"Male","9411"
"","18938"
"Physical",""
"Female","35"
"Male","64"
"","99"
"Speech problem",""
"Female","16"
"Male","21"
"","37"
