"Population by Educational Attainment","Number"
"Beginners",""
"Female","144"
"Male","178"
"","322"
"Graduate and Equivalent",""
"Female","20"
"Male","51"
"","71"
"Intermediate and Equivalent",""
"Female","87"
"Male","150"
"","237"
"Level not Stated",""
"Female","43"
"Male","58"
"","101"
"Lower Secondary (Class 6-8)",""
"Female","722"
"Male","1099"
"","1821"
"Non Formal Education",""
"Female","116"
"Male","172"
"","288"
"Others",""
"Female","4"
"Male","12"
"","16"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","14"
"","14"
"Primary Education (1-5 Class)",""
"Female","2180"
"Male","2829"
"","5009"
"Secondary Level (Class 9-10)",""
"Female","278"
"Male","412"
"","690"
"SLC and Equivalent",""
"Female","164"
"Male","304"
"","468"
