"Population by Five Years Age Group","Number"
"0-4",""
"Female","640"
"Male","647"
"10-14",""
"Female","1090"
"Male","1120"
"15-19",""
"Female","1100"
"Male","887"
"20-24",""
"Female","741"
"Male","483"
"25-29",""
"Female","738"
"Male","426"
"30-34",""
"Female","549"
"Male","438"
"35-39",""
"Female","606"
"Male","395"
"40-44",""
"Female","586"
"Male","467"
"45-49",""
"Female","477"
"Male","406"
"50-54",""
"Female","476"
"Male","420"
"55-59",""
"Female","334"
"Male","361"
"5-9",""
"Female","851"
"Male","828"
"60-64",""
"Female","372"
"Male","319"
"65-69",""
"Female","273"
"Male","262"
"70-74",""
"Female","236"
"Male","211"
"75+",""
"Female","301"
"Male","271"
