"Population by Single Year of Age","Number"
"0",""
"Female","100"
"Male","105"
"1",""
"Female","103"
"Male","90"
"10",""
"Female","161"
"Male","185"
"11",""
"Female","149"
"Male","121"
"12",""
"Female","185"
"Male","171"
"13",""
"Female","174"
"Male","167"
"14",""
"Female","198"
"Male","149"
"15",""
"Female","198"
"Male","137"
"16",""
"Female","214"
"Male","165"
"17",""
"Female","169"
"Male","123"
"18",""
"Female","188"
"Male","149"
"19",""
"Female","91"
"Male","86"
"2",""
"Female","115"
"Male","103"
"20",""
"Female","149"
"Male","104"
"21",""
"Female","126"
"Male","80"
"22",""
"Female","137"
"Male","96"
"23",""
"Female","86"
"Male","73"
"24",""
"Female","100"
"Male","80"
"25",""
"Female","119"
"Male","84"
"26",""
"Female","87"
"Male","70"
"27",""
"Female","87"
"Male","70"
"28",""
"Female","122"
"Male","93"
"29",""
"Female","55"
"Male","44"
"3",""
"Female","89"
"Male","89"
"30",""
"Female","137"
"Male","91"
"31",""
"Female","57"
"Male","47"
"32",""
"Female","87"
"Male","81"
"33",""
"Female","68"
"Male","48"
"34",""
"Female","47"
"Male","45"
"35",""
"Female","137"
"Male","118"
"36",""
"Female","53"
"Male","50"
"37",""
"Female","55"
"Male","44"
"38",""
"Female","65"
"Male","61"
"39",""
"Female","46"
"Male","27"
"4",""
"Female","134"
"Male","143"
"40",""
"Female","183"
"Male","144"
"41",""
"Female","53"
"Male","40"
"42",""
"Female","81"
"Male","68"
"43",""
"Female","59"
"Male","48"
"44",""
"Female","46"
"Male","45"
"45",""
"Female","169"
"Male","120"
"46",""
"Female","61"
"Male","52"
"47",""
"Female","33"
"Male","42"
"48",""
"Female","65"
"Male","59"
"49",""
"Female","50"
"Male","48"
"5",""
"Female","108"
"Male","118"
"50",""
"Female","133"
"Male","149"
"51",""
"Female","33"
"Male","42"
"52",""
"Female","64"
"Male","65"
"53",""
"Female","46"
"Male","53"
"54",""
"Female","34"
"Male","30"
"55",""
"Female","96"
"Male","82"
"56",""
"Female","57"
"Male","62"
"57",""
"Female","26"
"Male","32"
"58",""
"Female","48"
"Male","50"
"59",""
"Female","34"
"Male","28"
"6",""
"Female","124"
"Male","133"
"60",""
"Female","128"
"Male","132"
"61",""
"Female","24"
"Male","35"
"62",""
"Female","57"
"Male","46"
"63",""
"Female","26"
"Male","25"
"64",""
"Female","26"
"Male","20"
"65",""
"Female","67"
"Male","62"
"66",""
"Female","27"
"Male","40"
"67",""
"Female","26"
"Male","32"
"68",""
"Female","46"
"Male","56"
"69",""
"Female","30"
"Male","27"
"7",""
"Female","134"
"Male","136"
"70",""
"Female","111"
"Male","81"
"71",""
"Female","16"
"Male","18"
"72",""
"Female","29"
"Male","42"
"73",""
"Female","12"
"Male","18"
"74",""
"Female","11"
"Male","21"
"75",""
"Female","45"
"Male","43"
"76",""
"Female","18"
"Male","15"
"77",""
"Female","14"
"Male","16"
"78",""
"Female","31"
"Male","35"
"79",""
"Female","7"
"Male","11"
"8",""
"Female","150"
"Male","173"
"80",""
"Female","43"
"Male","36"
"81",""
"Female","8"
"Male","14"
"82",""
"Female","9"
"Male","12"
"83",""
"Female","5"
"Male","6"
"84",""
"Female","7"
"Male","11"
"85",""
"Female","32"
"Male","36"
"9",""
"Female","152"
"Male","145"
