"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","20"
"Male","58"
"","78"
"Bote",""
"Female","7"
"Male","4"
"","11"
"Danuwar",""
"Female","1815"
"Male","1659"
"","3474"
"Gurung",""
"Female","409"
"Male","360"
"","769"
"Hindi",""
"Female","8"
"Male","37"
"","45"
"Hyolmo/Yholmo",""
"Female","2400"
"Male","2321"
"","4721"
"Magar",""
"Female","143"
"Male","162"
"","305"
"Maithili",""
"Female","168"
"Male","444"
"","612"
"Majhi",""
"Female","276"
"Male","246"
"","522"
"Nepali",""
"Female","80878"
"Male","71543"
"","152421"
"Newar",""
"Female","8801"
"Male","8130"
"","16931"
"Not Reported",""
"Female","197"
"Male","169"
"","366"
"Others",""
"Female","231"
"Male","261"
"","492"
"Pahari",""
"Female","203"
"Male","185"
"","388"
"Rai",""
"Female","16"
"Male","21"
"","37"
"Sherpa",""
"Female","3835"
"Male","3762"
"","7597"
"Sign Language",""
"Female","4"
"Male","9"
"","13"
"Tamang",""
"Female","47826"
"Male","45701"
"","93527"
"Thami",""
"Female","1692"
"Male","1575"
"","3267"
"Tharu",""
"Female","3"
"Male","8"
"","11"
"Tibetan",""
"Female","175"
"Male","8"
"","183"
