"Population by Five Years Age Group","Number"
"0-4",""
"Female","197702"
"Male","214078"
"10-14",""
"Female","318916"
"Male","332593"
"15-19",""
"Female","319377"
"Male","323364"
"20-24",""
"Female","303293"
"Male","279324"
"25-29",""
"Female","264468"
"Male","236419"
"30-34",""
"Female","215885"
"Male","198710"
"35-39",""
"Female","191317"
"Male","178883"
"40-44",""
"Female","160399"
"Male","160676"
"45-49",""
"Female","128324"
"Male","131566"
"50-54",""
"Female","107155"
"Male","112953"
"55-59",""
"Female","79913"
"Male","84634"
"5-9",""
"Female","259150"
"Male","274366"
"60-64",""
"Female","73594"
"Male","70235"
"65-69",""
"Female","56965"
"Male","55296"
"70-74",""
"Female","43475"
"Male","40228"
"75+",""
"Female","61886"
"Male","54308"
