"Industries Types","Number"
"Accommodation and food","47029"
"Administrative and support service activity","3367"
"Agriculture, forestry and fishing","6927"
"Art, entertainment and recreation","1367"
"Construction","550"
"Education","10030"
"Electricty gas and water","325"
"Financial intermediation and insurance","7091"
"Health and social work","4964"
"Information and communications","1331"
"Manufacturing","32755"
"Mining and quarrying","269"
"Other service activities","17383"
"Professional,scientific and techniqual activity","3019"
"Real state, renting and business activities","124"
"Transport and storage","912"
"Water supply, wet management","1029"
"Wholesale and retail trade","144448"
"Total","282920"
