"Annual Growth rate of GDP by economic activities","Percentage %"
"Agriculture and forestry","7.62"
"Construction","7.30"
"Education","9.42"
"Electricty gas and water","9.09"
"Financial intermediation","7.11"
"Fishing","9.59"
"Health and social work","4.10"
"Hotels and restaurants","6.21"
"Manufacturing","11.77"
"Mining and quarrying","5.87"
"Other community, social and personal service activities","6.88"
"Public administration and defence","5.87"
"Real estate, renting and business activities","3.69"
"Transport, storage and communications","6.76"
"Wholesale and retail trade","9.85"
