"Population by Caste Ethinicity","Number"
"Badi",""
"Female","42"
"Male","51"
"","93"
"Brahman - Hill",""
"Female","5274"
"Male","4500"
"","9774"
"Brahman - Tarai",""
"Female","41"
"Male","35"
"","76"
"Chhetri",""
"Female","4162"
"Male","3409"
"","7571"
"Damai/Dholi",""
"Female","851"
"Male","715"
"","1566"
"Gaine",""
"Female","64"
"Male","55"
"","119"
"Gharti/Bhujel",""
"Female","348"
"Male","310"
"","658"
"Gurung",""
"Female","321"
"Male","302"
"","623"
"Halwai",""
"Female","9"
"Male","7"
"","16"
"Kami",""
"Female","2588"
"Male","2188"
"","4776"
"Kathabaniyan",""
"Female","8"
"Male","8"
"","16"
"Kumal",""
"Female","539"
"Male","486"
"","1025"
"Magar",""
"Female","7474"
"Male","6458"
"","13932"
"Majhi",""
"Female","13"
"Male","8"
"","21"
"Musalman",""
"Female","14"
"Male","21"
"","35"
"Newar",""
"Female","195"
"Male","160"
"","355"
"Others",""
"Female","32"
"Male","21"
"","53"
"Sanyasi/Dasnami",""
"Female","105"
"Male","86"
"","191"
"Sarki",""
"Female","1247"
"Male","1084"
"","2331"
"Terai Others",""
"Female","8"
"Male","6"
"","14"
"Thakuri",""
"Female","55"
"Male","39"
"","94"
"Tharu",""
"Female","14"
"Male","20"
"","34"
