"Population by Five Years Age Group","Number"
"0-4",""
"Female","9759"
"Male","11035"
"10-14",""
"Female","14285"
"Male","13968"
"15-19",""
"Female","13009"
"Male","8856"
"20-24",""
"Female","10344"
"Male","4548"
"25-29",""
"Female","8529"
"Male","4014"
"30-34",""
"Female","6650"
"Male","3335"
"35-39",""
"Female","6503"
"Male","3373"
"40-44",""
"Female","5852"
"Male","3476"
"45-49",""
"Female","5292"
"Male","3510"
"50-54",""
"Female","4530"
"Male","3803"
"55-59",""
"Female","3742"
"Male","3243"
"5-9",""
"Female","12320"
"Male","12678"
"60-64",""
"Female","3549"
"Male","3161"
"65-69",""
"Female","2767"
"Male","2466"
"70-74",""
"Female","1860"
"Male","2122"
"75+",""
"Female","2375"
"Male","2678"
