"Population by Single Year of Age","Number"
"0",""
"Female","1674"
"Male","2119"
"1",""
"Female","1721"
"Male","2010"
"10",""
"Female","2878"
"Male","2940"
"11",""
"Female","2678"
"Male","2693"
"12",""
"Female","3080"
"Male","3085"
"13",""
"Female","2901"
"Male","2735"
"14",""
"Female","2748"
"Male","2515"
"15",""
"Female","2850"
"Male","2335"
"16",""
"Female","2601"
"Male","1994"
"17",""
"Female","2621"
"Male","1825"
"18",""
"Female","2831"
"Male","1666"
"19",""
"Female","2106"
"Male","1036"
"2",""
"Female","2002"
"Male","2142"
"20",""
"Female","2159"
"Male","1046"
"21",""
"Female","2079"
"Male","910"
"22",""
"Female","2366"
"Male","1014"
"23",""
"Female","1913"
"Male","770"
"24",""
"Female","1827"
"Male","808"
"25",""
"Female","2256"
"Male","952"
"26",""
"Female","1700"
"Male","815"
"27",""
"Female","1663"
"Male","809"
"28",""
"Female","1749"
"Male","824"
"29",""
"Female","1161"
"Male","614"
"3",""
"Female","2042"
"Male","2229"
"30",""
"Female","2009"
"Male","909"
"31",""
"Female","1006"
"Male","579"
"32",""
"Female","1525"
"Male","694"
"33",""
"Female","1076"
"Male","579"
"34",""
"Female","1034"
"Male","574"
"35",""
"Female","2120"
"Male","932"
"36",""
"Female","1131"
"Male","637"
"37",""
"Female","1049"
"Male","588"
"38",""
"Female","1217"
"Male","680"
"39",""
"Female","986"
"Male","536"
"4",""
"Female","2320"
"Male","2535"
"40",""
"Female","2106"
"Male","983"
"41",""
"Female","892"
"Male","595"
"42",""
"Female","1184"
"Male","766"
"43",""
"Female","928"
"Male","598"
"44",""
"Female","742"
"Male","534"
"45",""
"Female","1690"
"Male","924"
"46",""
"Female","784"
"Male","599"
"47",""
"Female","851"
"Male","647"
"48",""
"Female","1049"
"Male","712"
"49",""
"Female","918"
"Male","628"
"5",""
"Female","2377"
"Male","2462"
"50",""
"Female","1594"
"Male","1125"
"51",""
"Female","744"
"Male","660"
"52",""
"Female","900"
"Male","825"
"53",""
"Female","662"
"Male","590"
"54",""
"Female","630"
"Male","603"
"55",""
"Female","1078"
"Male","845"
"56",""
"Female","779"
"Male","685"
"57",""
"Female","652"
"Male","572"
"58",""
"Female","668"
"Male","639"
"59",""
"Female","565"
"Male","502"
"6",""
"Female","2424"
"Male","2384"
"60",""
"Female","1243"
"Male","943"
"61",""
"Female","680"
"Male","615"
"62",""
"Female","685"
"Male","643"
"63",""
"Female","493"
"Male","461"
"64",""
"Female","448"
"Male","499"
"65",""
"Female","896"
"Male","607"
"66",""
"Female","420"
"Male","367"
"67",""
"Female","633"
"Male","620"
"68",""
"Female","567"
"Male","571"
"69",""
"Female","251"
"Male","301"
"7",""
"Female","2626"
"Male","2673"
"70",""
"Female","734"
"Male","654"
"71",""
"Female","336"
"Male","396"
"72",""
"Female","355"
"Male","463"
"73",""
"Female","262"
"Male","334"
"74",""
"Female","173"
"Male","275"
"75",""
"Female","406"
"Male","400"
"76",""
"Female","210"
"Male","228"
"77",""
"Female","218"
"Male","290"
"78",""
"Female","279"
"Male","316"
"79",""
"Female","159"
"Male","181"
"8",""
"Female","2467"
"Male","2696"
"80",""
"Female","259"
"Male","232"
"81",""
"Female","125"
"Male","166"
"82",""
"Female","116"
"Male","154"
"83",""
"Female","101"
"Male","134"
"84",""
"Female","113"
"Male","114"
"85",""
"Female","389"
"Male","463"
"9",""
"Female","2426"
"Male","2463"
