"Population by Five Years Age Group","Number"
"0-4",""
"Female","2643"
"Male","2796"
"10-14",""
"Female","3802"
"Male","3820"
"15-19",""
"Female","3565"
"Male","2937"
"20-24",""
"Female","3037"
"Male","2154"
"25-29",""
"Female","2634"
"Male","1758"
"30-34",""
"Female","2027"
"Male","1480"
"35-39",""
"Female","1786"
"Male","1407"
"40-44",""
"Female","1463"
"Male","1214"
"45-49",""
"Female","1209"
"Male","1125"
"50-54",""
"Female","924"
"Male","957"
"55-59",""
"Female","772"
"Male","794"
"5-9",""
"Female","3258"
"Male","3484"
"60-64",""
"Female","766"
"Male","715"
"65-69",""
"Female","531"
"Male","605"
"70-74",""
"Female","343"
"Male","349"
"75+",""
"Female","319"
"Male","313"
