"Population by disability type","Number"
"Blind/low vision",""
"Female","140"
"Male","121"
"","261"
"Deaf/hard of hearing",""
"Female","146"
"Male","157"
"","303"
"Deaf-Blind",""
"Female","10"
"Male","10"
"","20"
"Intellectual disable",""
"Female","33"
"Male","31"
"","64"
"Mental disable",""
"Female","35"
"Male","43"
"","78"
"Multiple disable",""
"Female","53"
"Male","52"
"","105"
"No disability",""
"Female","28321"
"Male","24567"
"","52888"
"Physical",""
"Female","257"
"Male","320"
"","577"
"Speech problem",""
"Female","51"
"Male","71"
"","122"
