"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","150"
"Male","153"
"","303"
"Bangali",""
"Female","88"
"Male","89"
"","177"
"Bhote",""
"Female","8"
"Male","4"
"","12"
"Brahman - Hill",""
"Female","188"
"Male","196"
"","384"
"Brahman - Tarai",""
"Female","223"
"Male","225"
"","448"
"Chamar/ Harijan/ Ram",""
"Female","448"
"Male","526"
"","974"
"Chhetri",""
"Female","1379"
"Male","1181"
"","2560"
"Dalit Others",""
"Female","718"
"Male","779"
"","1497"
"Damai/Dholi",""
"Female","227"
"Male","189"
"","416"
"Dhobi",""
"Female","411"
"Male","480"
"","891"
"Dusadh/ Pasawan/ Pasi",""
"Female","325"
"Male","372"
"","697"
"Gaderi/Bhedihar",""
"Female","207"
"Male","265"
"","472"
"Gurung",""
"Female","52"
"Male","39"
"","91"
"Hajam/Thakur",""
"Female","263"
"Male","292"
"","555"
"Halwai",""
"Female","13"
"Male","18"
"","31"
"Kahar",""
"Female","46"
"Male","45"
"","91"
"Kalwar",""
"Female","108"
"Male","146"
"","254"
"Kami",""
"Female","368"
"Male","359"
"","727"
"Kanu",""
"Female","73"
"Male","88"
"","161"
"Kathabaniyan",""
"Female","87"
"Male","96"
"","183"
"Kayastha",""
"Female","47"
"Male","60"
"","107"
"Kewat",""
"Female","274"
"Male","269"
"","543"
"Kori",""
"Female","498"
"Male","584"
"","1082"
"Kumal",""
"Female","9"
"Male","7"
"","16"
"Kumhar",""
"Female","80"
"Male","99"
"","179"
"Kurmi",""
"Female","1359"
"Male","1530"
"","2889"
"Lodh",""
"Female","47"
"Male","61"
"","108"
"Lohar",""
"Female","101"
"Male","116"
"","217"
"Magar",""
"Female","422"
"Male","361"
"","783"
"Mali",""
"Female","30"
"Male","35"
"","65"
"Mallaha",""
"Female","22"
"Male","17"
"","39"
"Musahar",""
"Female","12"
"Male","6"
"","18"
"Musalman",""
"Female","5468"
"Male","5654"
"","11122"
"Newar",""
"Female","25"
"Male","26"
"","51"
"Others",""
"Female","30"
"Male","20"
"","50"
"Rai",""
"Female","6"
"Male","7"
"","13"
"Rajput",""
"Female","11"
"Male","14"
"","25"
"Sanyasi/Dasnami",""
"Female","107"
"Male","92"
"","199"
"Sarki",""
"Female","56"
"Male","52"
"","108"
"Sonar",""
"Female","91"
"Male","84"
"","175"
"Tamang",""
"Female","13"
"Male","5"
"","18"
"Teli",""
"Female","232"
"Male","251"
"","483"
"Terai Others",""
"Female","546"
"Male","622"
"","1168"
"Thakuri",""
"Female","271"
"Male","226"
"","497"
"Tharu",""
"Female","840"
"Male","917"
"","1757"
"Yadav",""
"Female","2204"
"Male","2620"
"","4824"
