"Population by disability type","Number"
"Blind/low vision",""
"Female","40"
"Male","53"
"","93"
"Deaf/hard of hearing",""
"Female","22"
"Male","29"
"","51"
"Deaf-Blind",""
"Female","3"
"Male","6"
"","9"
"Intellectual disable",""
"Female","14"
"Male","29"
"","43"
"Mental disable",""
"Female","17"
"Male","25"
"","42"
"Multiple disable",""
"Female","13"
"Male","25"
"","38"
"No disability",""
"Female","18213"
"Male","19124"
"","37337"
"Physical",""
"Female","59"
"Male","123"
"","182"
"Speech problem",""
"Female","25"
"Male","19"
"","44"
