"Population by Mother tongue","Number"
"Avadhi",""
"Female","3353"
"Male","3385"
"Bhojpuri",""
"Female","28"
"Male","18"
"Chepang",""
"Female","6"
"Male","7"
"Doteli",""
"Female","8"
"Male","7"
"Gurung",""
"Female","66"
"Male","44"
"Hindi",""
"Female","18"
"Male","26"
"Magar",""
"Female","458"
"Male","331"
"Maithili",""
"Female","82"
"Male","80"
"Nepali",""
"Female","15759"
"Male","12349"
"Newar",""
"Female","109"
"Male","85"
"Not Reported",""
"Female","2"
"Male","9"
"Others",""
"Female","30"
"Male","18"
"Tamang",""
"Female","15"
"Male","11"
"Tharu",""
"Female","658"
"Male","603"
"Urdu",""
"Female","6865"
"Male","6531"
