"Population by disability type","Number"
"Blind/low vision",""
"Female","97"
"Male","99"
"","196"
"Deaf/hard of hearing",""
"Female","76"
"Male","82"
"","158"
"Deaf-Blind",""
"Female","19"
"Male","20"
"","39"
"Intellectual disable",""
"Female","13"
"Male","20"
"","33"
"Mental disable",""
"Female","36"
"Male","44"
"","80"
"Multiple disable",""
"Female","47"
"Male","27"
"","74"
"No disability",""
"Female","29095"
"Male","25735"
"","54830"
"Physical",""
"Female","149"
"Male","206"
"","355"
"Speech problem",""
"Female","41"
"Male","69"
"","110"
