"Population by Single Year of Age","Number"
"0",""
"Female","570"
"Male","632"
"1",""
"Female","565"
"Male","577"
"10",""
"Female","888"
"Male","954"
"11",""
"Female","788"
"Male","797"
"12",""
"Female","1014"
"Male","1058"
"13",""
"Female","900"
"Male","859"
"14",""
"Female","1033"
"Male","885"
"15",""
"Female","958"
"Male","822"
"16",""
"Female","1084"
"Male","986"
"17",""
"Female","906"
"Male","787"
"18",""
"Female","1066"
"Male","950"
"19",""
"Female","696"
"Male","560"
"2",""
"Female","566"
"Male","626"
"20",""
"Female","993"
"Male","701"
"21",""
"Female","665"
"Male","513"
"22",""
"Female","851"
"Male","651"
"23",""
"Female","626"
"Male","506"
"24",""
"Female","635"
"Male","481"
"25",""
"Female","844"
"Male","681"
"26",""
"Female","639"
"Male","435"
"27",""
"Female","580"
"Male","444"
"28",""
"Female","644"
"Male","538"
"29",""
"Female","370"
"Male","247"
"3",""
"Female","665"
"Male","673"
"30",""
"Female","865"
"Male","697"
"31",""
"Female","310"
"Male","260"
"32",""
"Female","526"
"Male","510"
"33",""
"Female","365"
"Male","281"
"34",""
"Female","372"
"Male","290"
"35",""
"Female","785"
"Male","771"
"36",""
"Female","346"
"Male","338"
"37",""
"Female","294"
"Male","296"
"38",""
"Female","441"
"Male","380"
"39",""
"Female","283"
"Male","239"
"4",""
"Female","702"
"Male","736"
"40",""
"Female","736"
"Male","679"
"41",""
"Female","278"
"Male","206"
"42",""
"Female","363"
"Male","337"
"43",""
"Female","322"
"Male","236"
"44",""
"Female","303"
"Male","197"
"45",""
"Female","598"
"Male","706"
"46",""
"Female","218"
"Male","257"
"47",""
"Female","194"
"Male","204"
"48",""
"Female","277"
"Male","312"
"49",""
"Female","168"
"Male","126"
"5",""
"Female","820"
"Male","785"
"50",""
"Female","448"
"Male","472"
"51",""
"Female","134"
"Male","146"
"52",""
"Female","176"
"Male","212"
"53",""
"Female","170"
"Male","119"
"54",""
"Female","135"
"Male","106"
"55",""
"Female","348"
"Male","400"
"56",""
"Female","159"
"Male","170"
"57",""
"Female","121"
"Male","139"
"58",""
"Female","190"
"Male","175"
"59",""
"Female","138"
"Male","112"
"6",""
"Female","733"
"Male","748"
"60",""
"Female","399"
"Male","420"
"61",""
"Female","106"
"Male","114"
"62",""
"Female","171"
"Male","146"
"63",""
"Female","112"
"Male","111"
"64",""
"Female","98"
"Male","89"
"65",""
"Female","283"
"Male","310"
"66",""
"Female","90"
"Male","90"
"67",""
"Female","82"
"Male","88"
"68",""
"Female","127"
"Male","150"
"69",""
"Female","53"
"Male","91"
"7",""
"Female","768"
"Male","797"
"70",""
"Female","199"
"Male","202"
"71",""
"Female","43"
"Male","65"
"72",""
"Female","64"
"Male","86"
"73",""
"Female","45"
"Male","55"
"74",""
"Female","26"
"Male","36"
"75",""
"Female","89"
"Male","91"
"76",""
"Female","27"
"Male","18"
"77",""
"Female","22"
"Male","28"
"78",""
"Female","31"
"Male","32"
"79",""
"Female","8"
"Male","16"
"8",""
"Female","803"
"Male","756"
"80",""
"Female","36"
"Male","50"
"81",""
"Female","10"
"Male","10"
"82",""
"Female","7"
"Male","12"
"83",""
"Female","8"
"Male","12"
"84",""
"Female","11"
"Male","15"
"85",""
"Female","56"
"Male","58"
"9",""
"Female","720"
"Male","720"
