"Population by Mother tongue","Number"
"Avadhi",""
"Female","12300"
"Male","13538"
"","25838"
"Bangla",""
"Female","3"
"Male","9"
"","12"
"Bhojpuri",""
"Female","521"
"Male","581"
"","1102"
"Doteli",""
"Female","78"
"Male","94"
"","172"
"Gurung",""
"Female","18"
"Male","16"
"","34"
"Hindi",""
"Female","59"
"Male","70"
"","129"
"Magar",""
"Female","115"
"Male","122"
"","237"
"Maithili",""
"Female","428"
"Male","483"
"","911"
"Nepali",""
"Female","8189"
"Male","7147"
"","15336"
"Newar",""
"Female","127"
"Male","128"
"","255"
"Not Reported",""
"Female","4"
"Male","8"
"","12"
"Others",""
"Female","28"
"Male","15"
"","43"
"Raji",""
"Female","13"
"Male","20"
"","33"
"Santhali",""
"Female","79"
"Male","89"
"","168"
"Sherpa",""
"Female","39"
"Male","29"
"","68"
"Tharu",""
"Female","7439"
"Male","7245"
"","14684"
"Urdu",""
"Female","3812"
"Male","3833"
"","7645"
