"Population by Mother tongue","Number"
"Avadhi",""
"Female","22"
"Male","32"
"","54"
"Bhojpuri",""
"Female","27"
"Male","16"
"","43"
"Gurung",""
"Female","384"
"Male","285"
"","669"
"Hindi",""
"Female","50"
"Male","63"
"","113"
"Magar",""
"Female","269"
"Male","218"
"","487"
"Maithili",""
"Female","56"
"Male","52"
"","108"
"Nepali",""
"Female","13579"
"Male","10922"
"","24501"
"Newar",""
"Female","42"
"Male","35"
"","77"
"Others",""
"Female","16"
"Male","17"
"","33"
"Raji",""
"Female","159"
"Male","158"
"","317"
"Tamang",""
"Female","184"
"Male","155"
"","339"
"Tharu",""
"Female","10100"
"Male","9502"
"","19602"
"Urdu",""
"Female","46"
"Male","48"
"","94"
