"Population by Mother tongue","Number"
"Achhami",""
"Female","47"
"Male","28"
"Assami",""
"Female","83"
"Male","68"
"Bhojpuri",""
"Female","7"
"Male","5"
"Hindi",""
"Female","33"
"Male","43"
"Magar",""
"Female","214"
"Male","158"
"Maithili",""
"Female","19"
"Male","29"
"Nepali",""
"Female","9450"
"Male","7931"
"Newar",""
"Female","43"
"Male","46"
"Others",""
"Female","25"
"Male","13"
"Sign Language",""
"Female","2"
"Male","10"
"Tharu",""
"Female","13459"
"Male","12284"
"Urdu",""
"Female","98"
"Male","84"
"Yakkha",""
"Female","72"
"Male","65"
