"Population by Single Year of Age","Number"
"0",""
"Female","358"
"Male","364"
"1",""
"Female","371"
"Male","395"
"10",""
"Female","598"
"Male","698"
"11",""
"Female","541"
"Male","603"
"12",""
"Female","662"
"Male","803"
"13",""
"Female","629"
"Male","626"
"14",""
"Female","709"
"Male","625"
"15",""
"Female","664"
"Male","613"
"16",""
"Female","678"
"Male","639"
"17",""
"Female","613"
"Male","542"
"18",""
"Female","696"
"Male","632"
"19",""
"Female","490"
"Male","374"
"2",""
"Female","397"
"Male","432"
"20",""
"Female","657"
"Male","428"
"21",""
"Female","395"
"Male","319"
"22",""
"Female","596"
"Male","366"
"23",""
"Female","423"
"Male","284"
"24",""
"Female","413"
"Male","296"
"25",""
"Female","563"
"Male","395"
"26",""
"Female","411"
"Male","438"
"27",""
"Female","393"
"Male","352"
"28",""
"Female","415"
"Male","400"
"29",""
"Female","240"
"Male","210"
"3",""
"Female","441"
"Male","462"
"30",""
"Female","588"
"Male","354"
"31",""
"Female","191"
"Male","206"
"32",""
"Female","370"
"Male","293"
"33",""
"Female","253"
"Male","175"
"34",""
"Female","264"
"Male","191"
"35",""
"Female","520"
"Male","441"
"36",""
"Female","282"
"Male","223"
"37",""
"Female","175"
"Male","189"
"38",""
"Female","271"
"Male","217"
"39",""
"Female","158"
"Male","145"
"4",""
"Female","479"
"Male","485"
"40",""
"Female","492"
"Male","390"
"41",""
"Female","192"
"Male","153"
"42",""
"Female","276"
"Male","247"
"43",""
"Female","178"
"Male","152"
"44",""
"Female","160"
"Male","144"
"45",""
"Female","387"
"Male","364"
"46",""
"Female","162"
"Male","180"
"47",""
"Female","120"
"Male","144"
"48",""
"Female","211"
"Male","188"
"49",""
"Female","100"
"Male","89"
"5",""
"Female","485"
"Male","473"
"50",""
"Female","309"
"Male","296"
"51",""
"Female","99"
"Male","117"
"52",""
"Female","119"
"Male","133"
"53",""
"Female","85"
"Male","89"
"54",""
"Female","92"
"Male","71"
"55",""
"Female","213"
"Male","224"
"56",""
"Female","99"
"Male","111"
"57",""
"Female","90"
"Male","85"
"58",""
"Female","117"
"Male","99"
"59",""
"Female","97"
"Male","72"
"6",""
"Female","482"
"Male","521"
"60",""
"Female","259"
"Male","233"
"61",""
"Female","71"
"Male","97"
"62",""
"Female","106"
"Male","79"
"63",""
"Female","88"
"Male","54"
"64",""
"Female","71"
"Male","74"
"65",""
"Female","203"
"Male","171"
"66",""
"Female","47"
"Male","59"
"67",""
"Female","62"
"Male","69"
"68",""
"Female","81"
"Male","97"
"69",""
"Female","30"
"Male","56"
"7",""
"Female","545"
"Male","522"
"70",""
"Female","120"
"Male","109"
"71",""
"Female","39"
"Male","41"
"72",""
"Female","59"
"Male","54"
"73",""
"Female","32"
"Male","48"
"74",""
"Female","18"
"Male","23"
"75",""
"Female","66"
"Male","56"
"76",""
"Female","27"
"Male","26"
"77",""
"Female","26"
"Male","27"
"78",""
"Female","21"
"Male","17"
"79",""
"Female","6"
"Male","9"
"8",""
"Female","515"
"Male","528"
"80",""
"Female","27"
"Male","31"
"81",""
"Female","4"
"Male","5"
"82",""
"Female","10"
"Male","12"
"83",""
"Female","11"
"Male","12"
"84",""
"Female","7"
"Male","13"
"85",""
"Female","39"
"Male","38"
"9",""
"Female","494"
"Male","503"
