"Population by Five Years Age Group","Number"
"0-4",""
"Female","19022"
"Male","19931"
"10-14",""
"Female","29288"
"Male","29701"
"15-19",""
"Female","28107"
"Male","24988"
"20-24",""
"Female","22945"
"Male","16842"
"25-29",""
"Female","19498"
"Male","15435"
"30-34",""
"Female","15527"
"Male","12497"
"35-39",""
"Female","13766"
"Male","12281"
"40-44",""
"Female","12089"
"Male","10770"
"45-49",""
"Female","9256"
"Male","9345"
"50-54",""
"Female","7020"
"Male","7027"
"55-59",""
"Female","6169"
"Male","6089"
"5-9",""
"Female","24041"
"Male","24797"
"60-64",""
"Female","5903"
"Male","5481"
"65-69",""
"Female","4127"
"Male","4574"
"70-74",""
"Female","2545"
"Male","2884"
"75+",""
"Female","2193"
"Male","2438"
