"Population by Five Years Age Group","Number"
"0-4",""
"Female","1429"
"Male","1438"
"10-14",""
"Female","2007"
"Male","2047"
"15-19",""
"Female","1850"
"Male","1377"
"20-24",""
"Female","1520"
"Male","840"
"25-29",""
"Female","1224"
"Male","691"
"30-34",""
"Female","988"
"Male","658"
"35-39",""
"Female","852"
"Male","615"
"40-44",""
"Female","754"
"Male","616"
"45-49",""
"Female","591"
"Male","524"
"50-54",""
"Female","511"
"Male","488"
"55-59",""
"Female","399"
"Male","393"
"5-9",""
"Female","1925"
"Male","1913"
"60-64",""
"Female","396"
"Male","370"
"65-69",""
"Female","236"
"Male","279"
"70-74",""
"Female","119"
"Male","150"
"75+",""
"Female","139"
"Male","130"
