"Population by Single Year of Age","Number"
"0",""
"Female","148"
"Male","196"
"1",""
"Female","173"
"Male","178"
"10",""
"Female","337"
"Male","319"
"11",""
"Female","278"
"Male","250"
"12",""
"Female","362"
"Male","356"
"13",""
"Female","276"
"Male","288"
"14",""
"Female","350"
"Male","284"
"15",""
"Female","340"
"Male","248"
"16",""
"Female","301"
"Male","266"
"17",""
"Female","266"
"Male","217"
"18",""
"Female","317"
"Male","280"
"19",""
"Female","220"
"Male","133"
"2",""
"Female","198"
"Male","198"
"20",""
"Female","255"
"Male","187"
"21",""
"Female","184"
"Male","123"
"22",""
"Female","252"
"Male","144"
"23",""
"Female","205"
"Male","112"
"24",""
"Female","201"
"Male","130"
"25",""
"Female","274"
"Male","158"
"26",""
"Female","211"
"Male","94"
"27",""
"Female","187"
"Male","122"
"28",""
"Female","248"
"Male","163"
"29",""
"Female","105"
"Male","86"
"3",""
"Female","220"
"Male","225"
"30",""
"Female","316"
"Male","205"
"31",""
"Female","88"
"Male","84"
"32",""
"Female","172"
"Male","132"
"33",""
"Female","113"
"Male","104"
"34",""
"Female","116"
"Male","77"
"35",""
"Female","303"
"Male","218"
"36",""
"Female","120"
"Male","121"
"37",""
"Female","80"
"Male","70"
"38",""
"Female","138"
"Male","110"
"39",""
"Female","104"
"Male","84"
"4",""
"Female","183"
"Male","225"
"40",""
"Female","272"
"Male","203"
"41",""
"Female","72"
"Male","77"
"42",""
"Female","128"
"Male","97"
"43",""
"Female","77"
"Male","80"
"44",""
"Female","63"
"Male","63"
"45",""
"Female","190"
"Male","197"
"46",""
"Female","72"
"Male","86"
"47",""
"Female","65"
"Male","63"
"48",""
"Female","80"
"Male","85"
"49",""
"Female","56"
"Male","61"
"5",""
"Female","248"
"Male","264"
"50",""
"Female","174"
"Male","187"
"51",""
"Female","46"
"Male","48"
"52",""
"Female","86"
"Male","82"
"53",""
"Female","42"
"Male","44"
"54",""
"Female","29"
"Male","32"
"55",""
"Female","130"
"Male","138"
"56",""
"Female","70"
"Male","70"
"57",""
"Female","45"
"Male","44"
"58",""
"Female","69"
"Male","75"
"59",""
"Female","52"
"Male","37"
"6",""
"Female","252"
"Male","227"
"60",""
"Female","166"
"Male","135"
"61",""
"Female","47"
"Male","57"
"62",""
"Female","48"
"Male","44"
"63",""
"Female","30"
"Male","29"
"64",""
"Female","38"
"Male","40"
"65",""
"Female","81"
"Male","82"
"66",""
"Female","31"
"Male","26"
"67",""
"Female","31"
"Male","40"
"68",""
"Female","40"
"Male","40"
"69",""
"Female","16"
"Male","27"
"7",""
"Female","257"
"Male","239"
"70",""
"Female","60"
"Male","62"
"71",""
"Female","19"
"Male","19"
"72",""
"Female","29"
"Male","28"
"73",""
"Female","13"
"Male","20"
"74",""
"Female","18"
"Male","20"
"75",""
"Female","29"
"Male","27"
"76",""
"Female","12"
"Male","5"
"77",""
"Female","2"
"Male","6"
"78",""
"Female","9"
"Male","17"
"79",""
"Female","3"
"Male","6"
"8",""
"Female","266"
"Male","303"
"80",""
"Female","23"
"Male","5"
"81",""
"Female","4"
"Male","2"
"82",""
"Female","5"
"Male","7"
"83",""
"Female","6"
"Male","7"
"84",""
"Female","5"
"Male","6"
"85",""
"Female","11"
"Male","13"
"9",""
"Female","243"
"Male","224"
