"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","16"
"Male","16"
"Bote",""
"Female","73"
"Male","85"
"Brahman - Hill",""
"Female","1199"
"Male","920"
"Brahman - Tarai",""
"Female","12"
"Male","7"
"Chamar/ Harijan/ Ram",""
"Female","24"
"Male","21"
"Chhetri",""
"Female","1898"
"Male","1557"
"Dalit Others",""
"Female","56"
"Male","61"
"Damai/Dholi",""
"Female","347"
"Male","317"
"Dhobi",""
"Female","7"
"Male","8"
"Dusadh/ Pasawan/ Pasi",""
"Female","23"
"Male","28"
"Gharti/Bhujel",""
"Female","17"
"Male","11"
"Gurung",""
"Female","84"
"Male","57"
"Hajam/Thakur",""
"Female","12"
"Male","15"
"Halwai",""
"Female","38"
"Male","34"
"Kahar",""
"Female","14"
"Male","13"
"Kami",""
"Female","700"
"Male","578"
"Kathabaniyan",""
"Female","40"
"Male","47"
"Kumal",""
"Female","1682"
"Male","1528"
"Lodh",""
"Female","38"
"Male","46"
"Magar",""
"Female","1761"
"Male","1463"
"Majhi",""
"Female","71"
"Male","61"
"Musalman",""
"Female","607"
"Male","572"
"Newar",""
"Female","78"
"Male","75"
"Others",""
"Female","31"
"Male","33"
"Rai",""
"Female","10"
"Male","11"
"Sanyasi/Dasnami",""
"Female","416"
"Male","317"
"Sarki",""
"Female","284"
"Male","231"
"Tamang",""
"Female","32"
"Male","16"
"Teli",""
"Female","24"
"Male","41"
"Terai Others",""
"Female","23"
"Male","10"
"Thakuri",""
"Female","150"
"Male","103"
"Tharu",""
"Female","8902"
"Male","8661"
"Yadav",""
"Female","1434"
"Male","1546"
