"Population by Single Year of Age","Number"
"0",""
"Female","397"
"Male","425"
"1",""
"Female","336"
"Male","368"
"10",""
"Female","671"
"Male","746"
"11",""
"Female","531"
"Male","511"
"12",""
"Female","718"
"Male","740"
"13",""
"Female","643"
"Male","591"
"14",""
"Female","661"
"Male","611"
"15",""
"Female","649"
"Male","607"
"16",""
"Female","718"
"Male","637"
"17",""
"Female","573"
"Male","533"
"18",""
"Female","760"
"Male","688"
"19",""
"Female","481"
"Male","363"
"2",""
"Female","443"
"Male","461"
"20",""
"Female","731"
"Male","525"
"21",""
"Female","426"
"Male","312"
"22",""
"Female","578"
"Male","433"
"23",""
"Female","423"
"Male","319"
"24",""
"Female","449"
"Male","341"
"25",""
"Female","655"
"Male","504"
"26",""
"Female","416"
"Male","351"
"27",""
"Female","406"
"Male","362"
"28",""
"Female","508"
"Male","405"
"29",""
"Female","240"
"Male","236"
"3",""
"Female","493"
"Male","414"
"30",""
"Female","734"
"Male","575"
"31",""
"Female","172"
"Male","191"
"32",""
"Female","396"
"Male","339"
"33",""
"Female","274"
"Male","192"
"34",""
"Female","250"
"Male","186"
"35",""
"Female","660"
"Male","689"
"36",""
"Female","273"
"Male","204"
"37",""
"Female","204"
"Male","188"
"38",""
"Female","334"
"Male","290"
"39",""
"Female","171"
"Male","126"
"4",""
"Female","477"
"Male","481"
"40",""
"Female","612"
"Male","561"
"41",""
"Female","111"
"Male","127"
"42",""
"Female","250"
"Male","222"
"43",""
"Female","182"
"Male","151"
"44",""
"Female","176"
"Male","136"
"45",""
"Female","437"
"Male","532"
"46",""
"Female","167"
"Male","195"
"47",""
"Female","90"
"Male","107"
"48",""
"Female","183"
"Male","219"
"49",""
"Female","98"
"Male","94"
"5",""
"Female","534"
"Male","600"
"50",""
"Female","383"
"Male","387"
"51",""
"Female","70"
"Male","92"
"52",""
"Female","164"
"Male","134"
"53",""
"Female","84"
"Male","83"
"54",""
"Female","102"
"Male","98"
"55",""
"Female","244"
"Male","296"
"56",""
"Female","86"
"Male","120"
"57",""
"Female","96"
"Male","66"
"58",""
"Female","136"
"Male","128"
"59",""
"Female","80"
"Male","76"
"6",""
"Female","546"
"Male","562"
"60",""
"Female","298"
"Male","305"
"61",""
"Female","70"
"Male","83"
"62",""
"Female","103"
"Male","83"
"63",""
"Female","64"
"Male","43"
"64",""
"Female","74"
"Male","62"
"65",""
"Female","215"
"Male","201"
"66",""
"Female","59"
"Male","55"
"67",""
"Female","59"
"Male","56"
"68",""
"Female","61"
"Male","89"
"69",""
"Female","35"
"Male","49"
"7",""
"Female","599"
"Male","575"
"70",""
"Female","138"
"Male","123"
"71",""
"Female","18"
"Male","25"
"72",""
"Female","35"
"Male","47"
"73",""
"Female","23"
"Male","26"
"74",""
"Female","20"
"Male","18"
"75",""
"Female","45"
"Male","83"
"76",""
"Female","18"
"Male","16"
"77",""
"Female","11"
"Male","4"
"78",""
"Female","16"
"Male","13"
"79",""
"Female","11"
"Male","14"
"8",""
"Female","607"
"Male","637"
"80",""
"Female","34"
"Male","25"
"81",""
"Female","4"
"Male","9"
"82",""
"Female","8"
"Male","6"
"83",""
"Female","4"
"Male","8"
"84",""
"Female","7"
"Male","12"
"85",""
"Female","45"
"Male","44"
"9",""
"Female","509"
"Male","499"
