"Population by Five Years Age Group","Number"
"0-4",""
"Female","1464"
"Male","1513"
"10-14",""
"Female","1803"
"Male","1779"
"15-19",""
"Female","1551"
"Male","1418"
"20-24",""
"Female","1241"
"Male","934"
"25-29",""
"Female","1054"
"Male","887"
"30-34",""
"Female","770"
"Male","650"
"35-39",""
"Female","647"
"Male","692"
"40-44",""
"Female","558"
"Male","487"
"45-49",""
"Female","503"
"Male","467"
"50-54",""
"Female","389"
"Male","424"
"55-59",""
"Female","311"
"Male","334"
"5-9",""
"Female","1775"
"Male","1851"
"60-64",""
"Female","274"
"Male","307"
"65-69",""
"Female","191"
"Male","258"
"70-74",""
"Female","121"
"Male","123"
"75+",""
"Female","134"
"Male","151"
