"Population by Five Years Age Group","Number"
"0-4",""
"Female","1818"
"Male","1969"
"10-14",""
"Female","2858"
"Male","2807"
"15-19",""
"Female","2524"
"Male","2235"
"20-24",""
"Female","2131"
"Male","1554"
"25-29",""
"Female","1879"
"Male","1401"
"30-34",""
"Female","1533"
"Male","1200"
"35-39",""
"Female","1332"
"Male","1145"
"40-44",""
"Female","1126"
"Male","1003"
"45-49",""
"Female","907"
"Male","894"
"50-54",""
"Female","717"
"Male","751"
"55-59",""
"Female","611"
"Male","622"
"5-9",""
"Female","2481"
"Male","2620"
"60-64",""
"Female","571"
"Male","547"
"65-69",""
"Female","397"
"Male","436"
"70-74",""
"Female","210"
"Male","263"
"75+",""
"Female","213"
"Male","194"
