"Population by Caste Ethinicity","Number"
"Badi",""
"Female","24"
"Male","19"
"","43"
"Brahman - Hill",""
"Female","969"
"Male","854"
"","1823"
"Chhantyal/Chhantel",""
"Female","18"
"Male","14"
"","32"
"Chhetri",""
"Female","5972"
"Male","4946"
"","10918"
"Dalit Others",""
"Female","89"
"Male","60"
"","149"
"Damai/Dholi",""
"Female","276"
"Male","250"
"","526"
"Gaine",""
"Female","13"
"Male","13"
"","26"
"Kami",""
"Female","1362"
"Male","1170"
"","2532"
"Kumal",""
"Female","8"
"Male","8"
"","16"
"Magar",""
"Female","1833"
"Male","1548"
"","3381"
"Musalman",""
"Female","112"
"Male","85"
"","197"
"Newar",""
"Female","46"
"Male","34"
"","80"
"Others",""
"Female","28"
"Male","18"
"","46"
"Sanyasi/Dasnami",""
"Female","211"
"Male","157"
"","368"
"Sarki",""
"Female","104"
"Male","102"
"","206"
"Tamang",""
"Female","5"
"Male","6"
"","11"
"Terai Others",""
"Female","24"
"Male","12"
"","36"
"Thakuri",""
"Female","210"
"Male","161"
"","371"
"Tharu",""
"Female","2304"
"Male","2138"
"","4442"
