"Population by Five Years Age Group","Number"
"0-4",""
"Female","26136"
"Male","27338"
"10-14",""
"Female","38387"
"Male","39049"
"15-19",""
"Female","35611"
"Male","29979"
"20-24",""
"Female","29715"
"Male","20145"
"25-29",""
"Female","25839"
"Male","18232"
"30-34",""
"Female","20767"
"Male","15554"
"35-39",""
"Female","18369"
"Male","15179"
"40-44",""
"Female","15021"
"Male","13021"
"45-49",""
"Female","11759"
"Male","11281"
"50-54",""
"Female","9974"
"Male","9803"
"55-59",""
"Female","7818"
"Male","8106"
"5-9",""
"Female","33669"
"Male","34833"
"60-64",""
"Female","7467"
"Male","6988"
"65-69",""
"Female","4865"
"Male","5360"
"70-74",""
"Female","3079"
"Male","3163"
"75+",""
"Female","3048"
"Male","3028"
