"Population by Five Years Age Group","Number"
"0-4",""
"Female","1078"
"Male","1204"
"10-14",""
"Female","1653"
"Male","1636"
"15-19",""
"Female","1551"
"Male","1106"
"20-24",""
"Female","1118"
"Male","426"
"25-29",""
"Female","913"
"Male","354"
"30-34",""
"Female","692"
"Male","324"
"35-39",""
"Female","696"
"Male","334"
"40-44",""
"Female","711"
"Male","331"
"45-49",""
"Female","645"
"Male","378"
"50-54",""
"Female","564"
"Male","448"
"55-59",""
"Female","465"
"Male","343"
"5-9",""
"Female","1394"
"Male","1376"
"60-64",""
"Female","494"
"Male","406"
"65-69",""
"Female","349"
"Male","345"
"70-74",""
"Female","227"
"Male","271"
"75+",""
"Female","297"
"Male","339"
