"Population by Five Years Age Group","Number"
"0-4",""
"Female","1152"
"Male","1259"
"10-14",""
"Female","1676"
"Male","1637"
"15-19",""
"Female","1497"
"Male","1069"
"20-24",""
"Female","1056"
"Male","468"
"25-29",""
"Female","827"
"Male","308"
"30-34",""
"Female","716"
"Male","310"
"35-39",""
"Female","641"
"Male","352"
"40-44",""
"Female","561"
"Male","343"
"45-49",""
"Female","547"
"Male","393"
"50-54",""
"Female","479"
"Male","463"
"55-59",""
"Female","392"
"Male","407"
"5-9",""
"Female","1423"
"Male","1461"
"60-64",""
"Female","426"
"Male","345"
"65-69",""
"Female","287"
"Male","269"
"70-74",""
"Female","202"
"Male","222"
"75+",""
"Female","245"
"Male","296"
