"Population by Caste Ethinicity","Number"
"Badi",""
"Female","7"
"Male","7"
"","14"
"Brahman - Hill",""
"Female","2418"
"Male","1949"
"","4367"
"Chhetri",""
"Female","3124"
"Male","2443"
"","5567"
"Damai/Dholi",""
"Female","599"
"Male","439"
"","1038"
"Gharti/Bhujel",""
"Female","172"
"Male","149"
"","321"
"Kami",""
"Female","2618"
"Male","2127"
"","4745"
"Kumal",""
"Female","161"
"Male","145"
"","306"
"Magar",""
"Female","2284"
"Male","1726"
"","4010"
"Newar",""
"Female","16"
"Male","7"
"","23"
"Others",""
"Female","6"
"Male","1"
"","7"
"Sanyasi/Dasnami",""
"Female","427"
"Male","370"
"","797"
"Sarki",""
"Female","271"
"Male","223"
"","494"
"Terai Others",""
"Female","15"
"Male","8"
"","23"
"Thakuri",""
"Female","9"
"Male","8"
"","17"
