"Population by Single Year of Age","Number"
"0",""
"Female","271"
"Male","279"
"1",""
"Female","264"
"Male","293"
"10",""
"Female","437"
"Male","517"
"11",""
"Female","405"
"Male","496"
"12",""
"Female","523"
"Male","536"
"13",""
"Female","480"
"Male","504"
"14",""
"Female","478"
"Male","460"
"15",""
"Female","459"
"Male","456"
"16",""
"Female","454"
"Male","406"
"17",""
"Female","498"
"Male","375"
"18",""
"Female","469"
"Male","375"
"19",""
"Female","378"
"Male","251"
"2",""
"Female","281"
"Male","337"
"20",""
"Female","444"
"Male","223"
"21",""
"Female","380"
"Male","213"
"22",""
"Female","450"
"Male","217"
"23",""
"Female","365"
"Male","161"
"24",""
"Female","310"
"Male","190"
"25",""
"Female","409"
"Male","199"
"26",""
"Female","315"
"Male","153"
"27",""
"Female","304"
"Male","160"
"28",""
"Female","372"
"Male","207"
"29",""
"Female","249"
"Male","153"
"3",""
"Female","250"
"Male","324"
"30",""
"Female","377"
"Male","200"
"31",""
"Female","177"
"Male","110"
"32",""
"Female","275"
"Male","174"
"33",""
"Female","184"
"Male","113"
"34",""
"Female","192"
"Male","103"
"35",""
"Female","367"
"Male","198"
"36",""
"Female","193"
"Male","110"
"37",""
"Female","160"
"Male","99"
"38",""
"Female","191"
"Male","146"
"39",""
"Female","156"
"Male","117"
"4",""
"Female","313"
"Male","363"
"40",""
"Female","368"
"Male","213"
"41",""
"Female","132"
"Male","88"
"42",""
"Female","214"
"Male","118"
"43",""
"Female","135"
"Male","103"
"44",""
"Female","101"
"Male","93"
"45",""
"Female","244"
"Male","173"
"46",""
"Female","124"
"Male","93"
"47",""
"Female","113"
"Male","95"
"48",""
"Female","163"
"Male","116"
"49",""
"Female","115"
"Male","97"
"5",""
"Female","358"
"Male","389"
"50",""
"Female","242"
"Male","194"
"51",""
"Female","91"
"Male","99"
"52",""
"Female","126"
"Male","129"
"53",""
"Female","85"
"Male","85"
"54",""
"Female","99"
"Male","77"
"55",""
"Female","170"
"Male","123"
"56",""
"Female","94"
"Male","78"
"57",""
"Female","110"
"Male","77"
"58",""
"Female","93"
"Male","109"
"59",""
"Female","79"
"Male","81"
"6",""
"Female","369"
"Male","404"
"60",""
"Female","207"
"Male","119"
"61",""
"Female","103"
"Male","79"
"62",""
"Female","86"
"Male","86"
"63",""
"Female","63"
"Male","59"
"64",""
"Female","68"
"Male","63"
"65",""
"Female","114"
"Male","65"
"66",""
"Female","62"
"Male","57"
"67",""
"Female","82"
"Male","69"
"68",""
"Female","79"
"Male","81"
"69",""
"Female","43"
"Male","52"
"7",""
"Female","422"
"Male","415"
"70",""
"Female","101"
"Male","91"
"71",""
"Female","40"
"Male","39"
"72",""
"Female","64"
"Male","70"
"73",""
"Female","34"
"Male","46"
"74",""
"Female","35"
"Male","34"
"75",""
"Female","66"
"Male","54"
"76",""
"Female","26"
"Male","21"
"77",""
"Female","28"
"Male","33"
"78",""
"Female","42"
"Male","46"
"79",""
"Female","35"
"Male","35"
"8",""
"Female","403"
"Male","465"
"80",""
"Female","44"
"Male","40"
"81",""
"Female","16"
"Male","28"
"82",""
"Female","13"
"Male","10"
"83",""
"Female","13"
"Male","18"
"84",""
"Female","20"
"Male","17"
"85",""
"Female","64"
"Male","57"
"9",""
"Female","438"
"Male","458"
