"Population by Educational Attainment","Number"
"Beginners",""
"Female","333"
"Male","445"
"Graduate and Equivalent",""
"Female","42"
"Male","120"
"Intermediate and Equivalent",""
"Female","248"
"Male","261"
"Level not Stated",""
"Female","26"
"Male","18"
"Lower Secondary (Class 6-8)",""
"Female","2035"
"Male","1581"
"Non Formal Education",""
"Female","560"
"Male","444"
"Others",""
"Female","4"
"Male","1"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","53"
"Primary Education (1-5 Class)",""
"Female","3548"
"Male","3191"
"Secondary Level (Class 9-10)",""
"Female","1162"
"Male","943"
"SLC and Equivalent",""
"Female","879"
"Male","767"
