"Population by Single Year of Age","Number"
"0",""
"Female","496"
"Male","594"
"1",""
"Female","476"
"Male","514"
"10",""
"Female","1123"
"Male","1118"
"11",""
"Female","798"
"Male","896"
"12",""
"Female","1112"
"Male","1215"
"13",""
"Female","966"
"Male","904"
"14",""
"Female","1074"
"Male","1036"
"15",""
"Female","1009"
"Male","913"
"16",""
"Female","1123"
"Male","967"
"17",""
"Female","981"
"Male","912"
"18",""
"Female","1119"
"Male","954"
"19",""
"Female","769"
"Male","595"
"2",""
"Female","560"
"Male","677"
"20",""
"Female","1127"
"Male","756"
"21",""
"Female","728"
"Male","461"
"22",""
"Female","914"
"Male","643"
"23",""
"Female","718"
"Male","420"
"24",""
"Female","734"
"Male","434"
"25",""
"Female","941"
"Male","632"
"26",""
"Female","725"
"Male","433"
"27",""
"Female","621"
"Male","395"
"28",""
"Female","841"
"Male","542"
"29",""
"Female","457"
"Male","302"
"3",""
"Female","628"
"Male","678"
"30",""
"Female","1062"
"Male","663"
"31",""
"Female","367"
"Male","273"
"32",""
"Female","667"
"Male","478"
"33",""
"Female","399"
"Male","293"
"34",""
"Female","439"
"Male","287"
"35",""
"Female","1021"
"Male","707"
"36",""
"Female","434"
"Male","343"
"37",""
"Female","363"
"Male","242"
"38",""
"Female","545"
"Male","379"
"39",""
"Female","313"
"Male","221"
"4",""
"Female","677"
"Male","772"
"40",""
"Female","966"
"Male","770"
"41",""
"Female","277"
"Male","210"
"42",""
"Female","476"
"Male","392"
"43",""
"Female","341"
"Male","249"
"44",""
"Female","256"
"Male","189"
"45",""
"Female","770"
"Male","693"
"46",""
"Female","300"
"Male","231"
"47",""
"Female","227"
"Male","197"
"48",""
"Female","403"
"Male","326"
"49",""
"Female","211"
"Male","189"
"5",""
"Female","732"
"Male","852"
"50",""
"Female","702"
"Male","644"
"51",""
"Female","179"
"Male","164"
"52",""
"Female","291"
"Male","263"
"53",""
"Female","203"
"Male","174"
"54",""
"Female","169"
"Male","135"
"55",""
"Female","489"
"Male","472"
"56",""
"Female","215"
"Male","203"
"57",""
"Female","159"
"Male","179"
"58",""
"Female","229"
"Male","222"
"59",""
"Female","137"
"Male","143"
"6",""
"Female","730"
"Male","757"
"60",""
"Female","498"
"Male","479"
"61",""
"Female","137"
"Male","131"
"62",""
"Female","182"
"Male","171"
"63",""
"Female","133"
"Male","126"
"64",""
"Female","116"
"Male","109"
"65",""
"Female","362"
"Male","377"
"66",""
"Female","88"
"Male","108"
"67",""
"Female","99"
"Male","124"
"68",""
"Female","192"
"Male","184"
"69",""
"Female","59"
"Male","83"
"7",""
"Female","857"
"Male","885"
"70",""
"Female","270"
"Male","258"
"71",""
"Female","56"
"Male","69"
"72",""
"Female","92"
"Male","95"
"73",""
"Female","47"
"Male","71"
"74",""
"Female","42"
"Male","48"
"75",""
"Female","139"
"Male","153"
"76",""
"Female","44"
"Male","48"
"77",""
"Female","52"
"Male","42"
"78",""
"Female","57"
"Male","68"
"79",""
"Female","30"
"Male","37"
"8",""
"Female","921"
"Male","987"
"80",""
"Female","88"
"Male","63"
"81",""
"Female","27"
"Male","30"
"82",""
"Female","29"
"Male","35"
"83",""
"Female","24"
"Male","27"
"84",""
"Female","17"
"Male","34"
"85",""
"Female","108"
"Male","107"
"9",""
"Female","774"
"Male","773"
