"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","5"
"Male","8"
"","13"
"Badi",""
"Female","147"
"Male","121"
"","268"
"Bangali",""
"Female","16"
"Male","17"
"","33"
"Bote",""
"Female","16"
"Male","18"
"","34"
"Brahman - Hill",""
"Female","10382"
"Male","8490"
"","18872"
"Brahman - Tarai",""
"Female","24"
"Male","27"
"","51"
"Chamar/ Harijan/ Ram",""
"Female","125"
"Male","103"
"","228"
"Chhetri",""
"Female","4409"
"Male","3484"
"","7893"
"Dalit Others",""
"Female","468"
"Male","402"
"","870"
"Damai/Dholi",""
"Female","698"
"Male","638"
"","1336"
"Danuwar",""
"Female","8"
"Male","6"
"","14"
"Dusadh/ Pasawan/ Pasi",""
"Female","102"
"Male","116"
"","218"
"Gaderi/Bhedihar",""
"Female","9"
"Male","13"
"","22"
"Gaine",""
"Female","14"
"Male","8"
"","22"
"Gharti/Bhujel",""
"Female","16"
"Male","14"
"","30"
"Gurung",""
"Female","373"
"Male","318"
"","691"
"Hajam/Thakur",""
"Female","118"
"Male","116"
"","234"
"Halwai",""
"Female","65"
"Male","70"
"","135"
"Kahar",""
"Female","55"
"Male","60"
"","115"
"Kami",""
"Female","1229"
"Male","1051"
"","2280"
"Kanu",""
"Female","9"
"Male","12"
"","21"
"Kathabaniyan",""
"Female","98"
"Male","96"
"","194"
"Kayastha",""
"Female","10"
"Male","2"
"","12"
"Kewat",""
"Female","79"
"Male","85"
"","164"
"Kumal",""
"Female","165"
"Male","150"
"","315"
"Kurmi",""
"Female","113"
"Male","131"
"","244"
"Lodh",""
"Female","32"
"Male","42"
"","74"
"Lohar",""
"Female","20"
"Male","23"
"","43"
"Magar",""
"Female","4058"
"Male","3170"
"","7228"
"Majhi",""
"Female","116"
"Male","114"
"","230"
"Mallaha",""
"Female","71"
"Male","51"
"","122"
"Musalman",""
"Female","477"
"Male","477"
"","954"
"Newar",""
"Female","311"
"Male","261"
"","572"
"Others",""
"Female","35"
"Male","29"
"","64"
"Pattharkatta/ Kushwadiya",""
"Female","14"
"Male","8"
"","22"
"Rai",""
"Female","11"
"Male","13"
"","24"
"Sanyasi/Dasnami",""
"Female","385"
"Male","313"
"","698"
"Sarki",""
"Female","201"
"Male","175"
"","376"
"Sherpa",""
"Female","9"
"Male","10"
"","19"
"Tamang",""
"Female","30"
"Male","24"
"","54"
"Teli",""
"Female","40"
"Male","27"
"","67"
"Terai Others",""
"Female","39"
"Male","40"
"","79"
"Thakali",""
"Female","14"
"Male","16"
"","30"
"Thakuri",""
"Female","1011"
"Male","809"
"","1820"
"Tharu",""
"Female","14434"
"Male","13518"
"","27952"
"Undefined Others",""
"Female","11"
"Male","11"
"","22"
"Yadav",""
"Female","237"
"Male","246"
"","483"
