"Population by Single Year of Age","Number"
"0",""
"Female","730"
"Male","745"
"1",""
"Female","692"
"Male","704"
"10",""
"Female","1306"
"Male","1471"
"11",""
"Female","661"
"Male","720"
"12",""
"Female","1231"
"Male","1390"
"13",""
"Female","821"
"Male","867"
"14",""
"Female","1051"
"Male","992"
"15",""
"Female","969"
"Male","984"
"16",""
"Female","1020"
"Male","1008"
"17",""
"Female","727"
"Male","710"
"18",""
"Female","1053"
"Male","1127"
"19",""
"Female","551"
"Male","493"
"2",""
"Female","758"
"Male","825"
"20",""
"Female","1066"
"Male","934"
"21",""
"Female","409"
"Male","397"
"22",""
"Female","773"
"Male","774"
"23",""
"Female","573"
"Male","393"
"24",""
"Female","662"
"Male","478"
"25",""
"Female","1006"
"Male","969"
"26",""
"Female","527"
"Male","497"
"27",""
"Female","381"
"Male","347"
"28",""
"Female","844"
"Male","717"
"29",""
"Female","234"
"Male","240"
"3",""
"Female","952"
"Male","889"
"30",""
"Female","1155"
"Male","1056"
"31",""
"Female","180"
"Male","182"
"32",""
"Female","633"
"Male","535"
"33",""
"Female","397"
"Male","225"
"34",""
"Female","316"
"Male","225"
"35",""
"Female","999"
"Male","1190"
"36",""
"Female","314"
"Male","305"
"37",""
"Female","211"
"Male","203"
"38",""
"Female","677"
"Male","415"
"39",""
"Female","182"
"Male","129"
"4",""
"Female","889"
"Male","961"
"40",""
"Female","940"
"Male","1104"
"41",""
"Female","107"
"Male","119"
"42",""
"Female","358"
"Male","339"
"43",""
"Female","268"
"Male","137"
"44",""
"Female","150"
"Male","123"
"45",""
"Female","727"
"Male","1010"
"46",""
"Female","145"
"Male","172"
"47",""
"Female","129"
"Male","100"
"48",""
"Female","408"
"Male","279"
"49",""
"Female","124"
"Male","89"
"5",""
"Female","1147"
"Male","1234"
"50",""
"Female","717"
"Male","843"
"51",""
"Female","91"
"Male","104"
"52",""
"Female","205"
"Male","245"
"53",""
"Female","172"
"Male","99"
"54",""
"Female","130"
"Male","101"
"55",""
"Female","536"
"Male","754"
"56",""
"Female","109"
"Male","111"
"57",""
"Female","98"
"Male","97"
"58",""
"Female","241"
"Male","163"
"59",""
"Female","91"
"Male","72"
"6",""
"Female","920"
"Male","1001"
"60",""
"Female","690"
"Male","783"
"61",""
"Female","70"
"Male","80"
"62",""
"Female","177"
"Male","142"
"63",""
"Female","94"
"Male","70"
"64",""
"Female","79"
"Male","56"
"65",""
"Female","465"
"Male","600"
"66",""
"Female","50"
"Male","65"
"67",""
"Female","41"
"Male","43"
"68",""
"Female","142"
"Male","133"
"69",""
"Female","27"
"Male","29"
"7",""
"Female","880"
"Male","924"
"70",""
"Female","366"
"Male","481"
"71",""
"Female","17"
"Male","32"
"72",""
"Female","63"
"Male","94"
"73",""
"Female","37"
"Male","29"
"74",""
"Female","13"
"Male","14"
"75",""
"Female","161"
"Male","201"
"76",""
"Female","17"
"Male","17"
"77",""
"Female","15"
"Male","16"
"78",""
"Female","31"
"Male","30"
"79",""
"Female","8"
"Male","5"
"8",""
"Female","1204"
"Male","1384"
"80",""
"Female","102"
"Male","116"
"81",""
"Female","9"
"Male","5"
"82",""
"Female","11"
"Male","13"
"83",""
"Female","6"
"Male","14"
"84",""
"Female","10"
"Male","12"
"85",""
"Female","88"
"Male","74"
"9",""
"Female","687"
"Male","716"
