"Population by Single Year of Age","Number"
"0",""
"Female","578"
"Male","626"
"1",""
"Female","502"
"Male","545"
"10",""
"Female","1039"
"Male","1180"
"11",""
"Female","396"
"Male","409"
"12",""
"Female","861"
"Male","1024"
"13",""
"Female","502"
"Male","523"
"14",""
"Female","685"
"Male","711"
"15",""
"Female","650"
"Male","701"
"16",""
"Female","649"
"Male","689"
"17",""
"Female","388"
"Male","367"
"18",""
"Female","684"
"Male","862"
"19",""
"Female","258"
"Male","286"
"2",""
"Female","653"
"Male","668"
"20",""
"Female","634"
"Male","723"
"21",""
"Female","190"
"Male","233"
"22",""
"Female","436"
"Male","537"
"23",""
"Female","409"
"Male","228"
"24",""
"Female","461"
"Male","313"
"25",""
"Female","474"
"Male","816"
"26",""
"Female","406"
"Male","358"
"27",""
"Female","226"
"Male","236"
"28",""
"Female","733"
"Male","544"
"29",""
"Female","164"
"Male","116"
"3",""
"Female","816"
"Male","778"
"30",""
"Female","617"
"Male","893"
"31",""
"Female","106"
"Male","96"
"32",""
"Female","344"
"Male","370"
"33",""
"Female","410"
"Male","136"
"34",""
"Female","339"
"Male","112"
"35",""
"Female","424"
"Male","958"
"36",""
"Female","261"
"Male","226"
"37",""
"Female","128"
"Male","117"
"38",""
"Female","577"
"Male","317"
"39",""
"Female","126"
"Male","80"
"4",""
"Female","687"
"Male","758"
"40",""
"Female","438"
"Male","844"
"41",""
"Female","73"
"Male","55"
"42",""
"Female","217"
"Male","252"
"43",""
"Female","330"
"Male","106"
"44",""
"Female","176"
"Male","66"
"45",""
"Female","273"
"Male","735"
"46",""
"Female","132"
"Male","91"
"47",""
"Female","72"
"Male","63"
"48",""
"Female","398"
"Male","181"
"49",""
"Female","81"
"Male","43"
"5",""
"Female","898"
"Male","883"
"50",""
"Female","354"
"Male","657"
"51",""
"Female","41"
"Male","33"
"52",""
"Female","123"
"Male","128"
"53",""
"Female","200"
"Male","58"
"54",""
"Female","117"
"Male","50"
"55",""
"Female","243"
"Male","521"
"56",""
"Female","86"
"Male","90"
"57",""
"Female","50"
"Male","46"
"58",""
"Female","334"
"Male","133"
"59",""
"Female","78"
"Male","38"
"6",""
"Female","787"
"Male","877"
"60",""
"Female","397"
"Male","647"
"61",""
"Female","42"
"Male","45"
"62",""
"Female","126"
"Male","138"
"63",""
"Female","197"
"Male","49"
"64",""
"Female","83"
"Male","41"
"65",""
"Female","274"
"Male","525"
"66",""
"Female","65"
"Male","36"
"67",""
"Female","34"
"Male","33"
"68",""
"Female","149"
"Male","136"
"69",""
"Female","34"
"Male","42"
"7",""
"Female","651"
"Male","650"
"70",""
"Female","271"
"Male","335"
"71",""
"Female","12"
"Male","16"
"72",""
"Female","59"
"Male","54"
"73",""
"Female","45"
"Male","21"
"74",""
"Female","28"
"Male","8"
"75",""
"Female","142"
"Male","211"
"76",""
"Female","19"
"Male","18"
"77",""
"Female","11"
"Male","19"
"78",""
"Female","33"
"Male","24"
"79",""
"Female","4"
"Male","4"
"8",""
"Female","1057"
"Male","1090"
"80",""
"Female","72"
"Male","91"
"81",""
"Female","3"
"Male","4"
"82",""
"Female","4"
"Male","1"
"83",""
"Female","1"
"Male","1"
"84",""
"Female","3"
"Male","0"
"85",""
"Female","75"
"Male","52"
"9",""
"Female","477"
"Male","442"
