"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","217"
"Male","242"
"Bangali",""
"Female","90"
"Male","118"
"Baraee",""
"Female","277"
"Male","309"
"Brahman - Hill",""
"Female","704"
"Male","672"
"Brahman - Tarai",""
"Female","181"
"Male","199"
"Chamar/ Harijan/ Ram",""
"Female","1238"
"Male","1275"
"Chhetri",""
"Female","200"
"Male","205"
"Damai/Dholi",""
"Female","31"
"Male","25"
"Dhandi",""
"Female","11"
"Male","11"
"Dhankar/ Dharikar",""
"Female","6"
"Male","12"
"Dhobi",""
"Female","953"
"Male","993"
"Dhunia",""
"Female","117"
"Male","113"
"Dusadh/ Pasawan/ Pasi",""
"Female","1554"
"Male","1581"
"Foreigner",""
"Female","46"
"Male","45"
"Gaderi/Bhedihar",""
"Female","247"
"Male","241"
"Gurung",""
"Female","26"
"Male","26"
"Hajam/Thakur",""
"Female","140"
"Male","115"
"Halwai",""
"Female","84"
"Male","107"
"Kahar",""
"Female","769"
"Male","752"
"Kalwar",""
"Female","166"
"Male","171"
"Kami",""
"Female","77"
"Male","54"
"Kathabaniyan",""
"Female","170"
"Male","208"
"Kayastha",""
"Female","41"
"Male","49"
"Kewat",""
"Female","159"
"Male","162"
"Koiri/Kushwaha",""
"Female","27"
"Male","26"
"Kori",""
"Female","203"
"Male","250"
"Kumhar",""
"Female","27"
"Male","30"
"Kurmi",""
"Female","1383"
"Male","1400"
"Lodh",""
"Female","501"
"Male","505"
"Lohar",""
"Female","273"
"Male","291"
"Magar",""
"Female","737"
"Male","733"
"Majhi",""
"Female","13"
"Male","6"
"Mali",""
"Female","79"
"Male","77"
"Mallaha",""
"Female","612"
"Male","604"
"Marwadi",""
"Female","172"
"Male","200"
"Musalman",""
"Female","4260"
"Male","4267"
"Natuwa",""
"Female","34"
"Male","22"
"Newar",""
"Female","53"
"Male","55"
"Others",""
"Female","61"
"Male","48"
"Pattharkatta/ Kushwadiya",""
"Female","24"
"Male","16"
"Rai",""
"Female","11"
"Male","8"
"Rajput",""
"Female","6"
"Male","6"
"Sanyasi/Dasnami",""
"Female","82"
"Male","101"
"Sonar",""
"Female","69"
"Male","58"
"Teli",""
"Female","698"
"Male","716"
"Terai Others",""
"Female","779"
"Male","687"
"Thakali",""
"Female","9"
"Male","10"
"Tharu",""
"Female","1369"
"Male","1290"
"Yadav",""
"Female","3482"
"Male","3642"
