"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","434"
"Male","424"
"Badi",""
"Female","22"
"Male","34"
"Bangali",""
"Female","61"
"Male","58"
"Baraee",""
"Female","233"
"Male","237"
"Brahman - Hill",""
"Female","532"
"Male","593"
"Brahman - Tarai",""
"Female","596"
"Male","625"
"Chamar/ Harijan/ Ram",""
"Female","1259"
"Male","1343"
"Chhetri",""
"Female","70"
"Male","89"
"Dalit Others",""
"Female","65"
"Male","63"
"Dhankar/ Dharikar",""
"Female","16"
"Male","18"
"Dhobi",""
"Female","526"
"Male","540"
"Dhunia",""
"Female","11"
"Male","12"
"Dusadh/ Pasawan/ Pasi",""
"Female","1305"
"Male","1359"
"Gaderi/Bhedihar",""
"Female","39"
"Male","48"
"Hajam/Thakur",""
"Female","319"
"Male","336"
"Halwai",""
"Female","134"
"Male","135"
"Kahar",""
"Female","907"
"Male","982"
"Kalwar",""
"Female","534"
"Male","542"
"Kami",""
"Female","48"
"Male","36"
"Kathabaniyan",""
"Female","470"
"Male","480"
"Kayastha",""
"Female","43"
"Male","49"
"Kewat",""
"Female","130"
"Male","121"
"Koiri/Kushwaha",""
"Female","19"
"Male","16"
"Kori",""
"Female","156"
"Male","166"
"Kumhar",""
"Female","20"
"Male","40"
"Kurmi",""
"Female","1076"
"Male","1066"
"Lodh",""
"Female","126"
"Male","149"
"Lohar",""
"Female","137"
"Male","146"
"Magar",""
"Female","549"
"Male","536"
"Mali",""
"Female","111"
"Male","107"
"Mallaha",""
"Female","189"
"Male","188"
"Marwadi",""
"Female","14"
"Male","14"
"Musahar",""
"Female","20"
"Male","16"
"Musalman",""
"Female","5547"
"Male","5420"
"Natuwa",""
"Female","7"
"Male","7"
"Newar",""
"Female","56"
"Male","58"
"Nuniya",""
"Female","19"
"Male","18"
"Others",""
"Female","26"
"Male","9"
"Pattharkatta/ Kushwadiya",""
"Female","7"
"Male","12"
"Sanyasi/Dasnami",""
"Female","139"
"Male","142"
"Sherpa",""
"Female","14"
"Male","15"
"Sonar",""
"Female","44"
"Male","46"
"Sudhi",""
"Female","122"
"Male","134"
"Teli",""
"Female","475"
"Male","491"
"Terai Others",""
"Female","180"
"Male","196"
"Thakuri",""
"Female","6"
"Male","6"
"Tharu",""
"Female","55"
"Male","49"
"Undefined Others",""
"Female","6"
"Male","5"
"Yadav",""
"Female","2384"
"Male","2518"
